panel,arm,cost,family,freq,n,CAGR,Sharpe,Vol,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,TO,gross,p4a,f4b,p4b
B136,RAND20_s2,25,RAND,W,20.0,0.10827167881876565,0.9493004499131078,0.11533851028322115,-0.1894177390359597,1.0141605947667036,0.8895640876388422,0.9180874973847847,0.1118323163826902,0.9747190235881389,-0.18941773903595982,9.272354008227216,0.7502146865001381,True,-,True
B136,FWD5,0,FWD,W,5.0,0.19212132196495402,0.9863622449423475,0.19815953648031043,-0.2340896347095619,1.1115333136424532,0.8895667240412239,1.0720357489881003,0.1903840415706599,0.9306342332030443,-0.23408963470956234,21.883816969723267,0.7503762717583413,False,DD,False
B136,FWD5,10,FWD,W,5.0,0.16633229591191312,0.8759512186202089,0.19815403483671373,-0.2398884377180862,0.9964109867910509,0.7822263375851602,0.9550528539914069,0.16392587618324272,0.8243073644786649,-0.23988843771808588,21.883816969723267,0.7503762717583413,False,"H2,OOS,DD",False
B136,FWD5,25,FWD,W,5.0,0.1286644798269163,0.7099629113890066,0.19824633171299094,-0.24851095887362284,0.823301174659182,0.6208825091504584,0.7791845184662765,0.1253090518761555,0.6644600809918746,-0.24851095887362296,21.883816969723267,0.7503762717583413,False,"H1,H2,OOS,DD",False
B136,FWD10,0,FWD,W,10.0,0.1631643783045944,1.0035676651869732,0.16409990877382313,-0.2137161819084622,1.230945162254818,0.816811020151994,1.1680141419913217,0.14882339136905265,0.8877013793890176,-0.21371618190846187,17.922295935407835,0.7503274178328844,False,"H2,DD",False
B136,FWD10,10,FWD,W,10.0,0.1425213779576584,0.8945662564516421,0.16406058837081428,-0.21444792932259615,1.118065989470775,0.710413352662198,1.0558595059015365,0.12766905137397422,0.780593339534181,-0.21444792932259604,17.922295935407835,0.7503274178328844,False,"H2,OOS,DD",False
B136,FWD10,25,FWD,W,10.0,0.11222575108065302,0.7306399357249023,0.16407482893483394,-0.21554475129999928,0.9482197701486431,0.5504674347776026,0.8871568966203321,0.0966486456762512,0.6195384444983666,-0.21554475129999928,17.922295935407835,0.7503274178328844,False,"H1,H2,OOS,DD",False
B136,FWD40,0,FWD,W,40.0,0.13308989888837952,1.0807389556354847,0.12261498998437781,-0.19034529297252867,1.2033717331910458,0.9697103859723266,1.1038144186344825,0.13248023124990516,1.062363848153381,-0.1903452929725289,11.281328549974669,0.7502385256536559,True,-,True
B136,FWD40,10,FWD,W,40.0,0.12038296166541573,0.9886495025282044,0.122625326125159,-0.19113372902660153,1.1082733695367837,0.8802705643447664,1.0102015790664909,0.11977053426322892,0.971492627133937,-0.19113372902660153,11.281328549974669,0.7502385256536559,True,-,True
B136,FWD40,25,FWD,W,40.0,0.10158296614341866,0.8502763868667557,0.12267949158322515,-0.19496965932583055,0.9653218432785513,0.745927566673872,0.8695080841051216,0.10096637109833106,0.8349736526961151,-0.19496965932583,11.281328549974669,0.7502385256536559,True,"H2,OOS,CAGR",False
B136,FWD60,0,FWD,W,60.0,0.12473786782709206,1.085215418530443,0.11438755181293883,-0.18568337550968195,1.1849593417614255,0.9938902037969642,1.0802468368143543,0.12617691850665302,1.0890947367055321,-0.18568337550968195,9.7518290604377,0.7502178483322284,True,-,True
B136,FWD60,10,FWD,W,60.0,0.11382476645590267,0.9997907193402468,0.11440724907948134,-0.18676941561945615,1.097262187879449,0.9105325889248799,0.9929349274121043,0.11538957576421982,1.0052150948644978,-0.18676941561945615,9.7518290604377,0.7502178483322284,True,-,True
B136,FWD60,25,FWD,W,60.0,0.09764799067333696,0.8714329899897288,0.11447301560781245,-0.1917199174903349,0.9653941661557487,0.7853617787331486,0.8616723222857763,0.09939651880027633,0.8792314332607489,-0.19171991749033523,9.7518290604377,0.7502178483322284,True,"H2,OOS,CAGR",False
B136,FWD20_nogate,0,FWD,W,20.0,0.14676083691199682,1.043189290805234,0.14083809855438353,-0.20521526906265075,1.198565535558073,0.9090951050807814,1.1147993336611415,0.14304840835307142,0.9899639398089596,-0.20521526906265064,14.193699427146184,0.7502835129964711,True,DD,False
B136,FWD20_nogate,10,FWD,W,20.0,0.13060470067310903,0.942337417971692,0.14084880234071948,-0.20695397413814898,1.096218258084798,0.8092711954329288,1.0137586984506022,0.12638631004909096,0.8891470607197897,-0.2069539741381493,14.193699427146184,0.7502835129964711,True,"H2,DD",False
B136,FWD20_nogate,25,FWD,W,20.0,0.10678676336815074,0.7908061838841254,0.14091511909290788,-0.20955790457031054,0.9423490095032331,0.6593585254762294,0.8618866129129392,0.10183722321943534,0.7377102466429655,-0.20955790457031043,14.193699427146184,0.7502835129964711,True,"H1,H2,OOS,DD",False
B136,FWD20_novolcap,0,FWD,W,20.0,0.1636166235751897,1.0799357565333947,0.15094193912306839,-0.23903428411059957,1.2635744778849642,0.9409439341730496,1.1749003101250708,0.16352786438497624,1.0191777630228231,-0.23903428411059968,13.527073128226238,0.7503221690645036,False,DD,False
B136,FWD20_novolcap,10,FWD,W,20.0,0.14798759856865118,0.990218599626225,0.15095709588537945,-0.2400321713910688,1.1669640810953927,0.8559539771001321,1.079179910275367,0.14749173716132957,0.9331677669795394,-0.2400321713910687,13.527073128226238,0.7503221690645036,False,DD,False
B136,FWD20_novolcap,25,FWD,W,20.0,0.12492801666070985,0.8554356017964075,0.15102237284446088,-0.2415272961150421,1.0217766334210348,0.728302354560861,0.9353685659277136,0.12384181351240064,0.803959619669021,-0.2415272961150422,13.527073128226238,0.7503221690645036,False,"H2,OOS,DD",False
B136,FWD20_M,0,FWD,M,20.0,0.17377389829353085,1.152855551821959,0.1486271607070792,-0.2606601526409168,1.3486398105194712,1.0004227179916358,1.2572738971548725,0.17204714586161174,1.083647875134575,-0.2606601526409166,6.52660467232208,0.7516794340443617,False,DD,False
B136,FWD20_M,10,FWD,M,20.0,0.16614674606903423,1.1091265923130587,0.1486025525333788,-0.26104593526574216,1.302298303727373,0.9584939854145156,1.2119754992308782,0.1641084332685605,1.040825665648853,-0.2610459352657427,6.52660467232208,0.7516794340443617,False,DD,False
B136,FWD20_M,25,FWD,M,20.0,0.15479034915531442,1.0431731753026323,0.14861303891073555,-0.26162460920298114,1.2323253200588458,0.8953080047691857,1.1436233541475294,0.15229188380832603,0.9762596530045626,-0.26162460920298136,6.52660467232208,0.7516794340443617,False,DD,False
B136,FWD20_Q,0,FWD,Q,20.0,0.14538061526614965,0.9542220273854711,0.15489096709233782,-0.27063847287815335,1.2860968979951388,0.7073703832781787,1.1844010331058243,0.12914641838239116,0.8069730967529501,-0.2706384728781538,3.6330754922265247,0.7542896084272003,False,"H2,OOS,DD",False
B136,FWD20_Q,10,FWD,Q,20.0,0.14123011138373087,0.930804485207703,0.15488461802818923,-0.27063847287815357,1.2610614160911369,0.6848947366983615,1.160242729770403,0.12476796403682955,0.7838710930468973,-0.27063847287815335,3.6330754922265247,0.7542896084272003,False,"H2,OOS,DD",False
B136,FWD20_Q,25,FWD,Q,20.0,0.13502507875356407,0.8954328543388307,0.15491690218850288,-0.27063847287815357,1.223135794330017,0.6510138285476724,1.1236727094232346,0.11822380755867146,0.7490219068106475,-0.2706384728781537,3.6330754922265247,0.7542896084272003,False,"H2,OOS,DD",False
B136,EWall_M,0,EW,M,,0.12139232482260987,1.1036663635014083,0.10925443055494433,-0.21592603450770242,1.1956061394907753,1.0256219164943283,1.0854730249153057,0.12585800699907135,1.1183265661697077,-0.21592603450770298,3.768752873613571,0.7512613651653961,False,DD,False
B136,EWall_M,10,EW,M,,0.11717839529917184,1.0693854064347432,0.10923254281430773,-0.21662181469052766,1.1624888959543074,0.9901560831346551,1.0519836662075688,0.12143663899157575,1.083408309621132,-0.21662181469052766,3.768752873613571,0.7512613651653961,False,DD,False
B136,EWall_M,25,EW,M,,0.11088322987083221,1.0176441282964452,0.10923126738719563,-0.2176654849647658,1.1125010411515086,0.9366333428491371,1.001470614068514,0.11483290667518298,1.0306793317705256,-0.21766548496476557,3.768752873613571,0.7512613651653961,False,DD,False
SMALL439,FWD20,0,FWD,W,20.0,0.0860306923698364,0.5700230108127359,0.1703546788490797,-0.313691751058328,0.7241229025131677,0.4486521997413709,0.5382250903698914,0.09331664899323333,0.5889205753173833,-0.3136917510583286,20.446093460601475,0.7501423099251968,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,FWD20,10,FWD,W,20.0,0.06404932322062762,0.44991579434596285,0.17038742459447848,-0.334794167175974,0.6056001345009001,0.32625490108889843,0.42314714464226266,0.06952666704630439,0.46573138739537995,-0.33479416717597366,20.446093460601475,0.7501423099251968,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,FWD20,25,FWD,W,20.0,0.03189102807552846,0.2697121599344528,0.17051827883200524,-0.36525380708468347,0.4276241673156127,0.14272950276559032,0.25042461537768207,0.03478849138134987,0.28093788655636576,-0.3652538070846839,20.446093460601475,0.7501423099251968,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,EWall,0,EW,W,,0.05061731543970338,0.4361514694631411,0.133847792901273,-0.3862153648727388,0.5338867901689613,0.36443010514700325,0.5144957704523956,0.046507467045281636,0.39486276949292853,-0.38621536487273866,13.36027270641697,0.7500295104604584,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,EWall,10,EW,W,,0.03666279912702519,0.33611343420604756,0.1339358510266337,-0.3998069131118529,0.43943114617044443,0.25876181215049104,0.42105878487589055,0.03139636424374004,0.29095981782086194,-0.39980691311185323,13.36027270641697,0.7500295104604584,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,EWall,25,EW,W,,0.016069110282892707,0.18622878506092033,0.13412120894240526,-0.41964145710116685,0.29788615295786836,0.10046834259810362,0.28106108214570913,0.009127886131771623,0.1352898169396716,-0.41964145710116674,13.36027270641697,0.7500295104604584,False,"H1,H2,OOS,DD,CAGR",False
SMALL439,REV20,0,REV,W,20.0,0.02734085004875042,0.26274155039955016,0.14011731180053325,-0.47640550720410313,0.33983547769421396,0.20948524257081014,0.19018940035100582,0.03436139064473931,0.30168530049079473,-0.47640550720410324,43.33910704872928,0.7499746653649885,False,"H1,H2,OOS,DD,CAGR",False
