panel,frame,cost,chooser,g,oCAGR,oSharpe,oMaxDD,o4a,o4b,base_oCAGR,base_oSharpe,base_oMaxDD
B136,LIVE,25.0,argmaxISsharpe,1.0,0.10011623648394741,1.0565397718726377,-0.16214332877286775,False,False,0.07507655272231117,1.057355425834723,-0.12285153570594698
B136,LIVE,25.0,argmaxIScagr|ISddcap,1.0,0.10011623648394741,1.0565397718726377,-0.16214332877286775,False,False,0.07507655272231117,1.057355425834723,-0.12285153570594698
B136,LIVE,25.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.75,0.07507655272231117,1.057355425834723,-0.12285153570594698,True,False,0.07507655272231117,1.057355425834723,-0.12285153570594698
B136,LIVE,50.0,argmaxIScagr,1.0,0.092468137029039,0.9826103372168097,-0.16308035717709746,False,False,0.06943916638398351,0.9829946382538588,-0.12358608812190786
B136,LIVE,50.0,argmaxISsharpe,1.0,0.092468137029039,0.9826103372168097,-0.16308035717709746,False,False,0.06943916638398351,0.9829946382538588,-0.12358608812190786
B136,LIVE,50.0,argmaxIScagr|ISddcap,1.0,0.092468137029039,0.9826103372168097,-0.16308035717709746,False,False,0.06943916638398351,0.9829946382538588,-0.12358608812190786
B136,LIVE,50.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.75,0.06943916638398351,0.9829946382538588,-0.12358608812190786,False,False,0.06943916638398351,0.9829946382538588,-0.12358608812190786
B136,INC,0.0,argmaxIScagr,1.0,0.22081421535513845,1.0415099754097765,-0.2682180947292727,False,False,0.16585627257141367,1.0394454606429175,-0.20618876305000255
B136,INC,0.0,argmaxISsharpe,1.0,0.22081421535513845,1.0415099754097765,-0.2682180947292727,False,False,0.16585627257141367,1.0394454606429175,-0.20618876305000255
B136,INC,0.0,argmaxIScagr|ISddcap,0.68,0.15039065429863152,1.0388601511455797,-0.18823190517080446,False,True,0.16585627257141367,1.0394454606429175,-0.20618876305000255
B136,INC,0.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.49,0.10832371973366928,1.0372536649269444,-0.13817411307837513,False,True,0.16585627257141367,1.0394454606429175,-0.20618876305000255
B136,INC,10.0,argmaxIScagr,1.0,0.21527983263664874,1.0201287480826045,-0.269727696705345,False,False,0.16187458516000497,1.017953764504917,-0.2074018763117902
B136,INC,10.0,argmaxISsharpe,1.0,0.21527983263664874,1.0201287480826045,-0.269727696705345,False,False,0.16187458516000497,1.017953764504917,-0.2074018763117902
B136,INC,10.0,argmaxIScagr|ISddcap,0.67,0.14466173347115108,1.0171919875488222,-0.1867545885172972,False,True,0.16187458516000497,1.017953764504917,-0.2074018763117902
B136,INC,10.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.5,0.10796848788603208,1.015478480388993,-0.14172761237675757,False,True,0.16187458516000497,1.017953764504917,-0.2074018763117902
B136,INC,25.0,argmaxIScagr,1.0,0.20701946240961955,0.9879670725667061,-0.2719899831051198,False,False,0.15592441719969807,0.9856261319617375,-0.2092202300433016
B136,INC,25.0,argmaxISsharpe,1.0,0.20701946240961955,0.9879670725667061,-0.2719899831051198,False,False,0.15592441719969807,0.9856261319617375,-0.2092202300433016
B136,INC,25.0,argmaxIScagr|ISddcap,0.66,0.1373334473207115,0.9846076409881926,-0.18579208533785352,False,True,0.15592441719969807,0.9856261319617375,-0.2092202300433016
