uni,book,cost,selector,pick,lag,IS_rate,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_dMaxDD,ctl_Sharpe,v1_Sharpe,spy_Sharpe,p4a,p4b
universe.json(56),EWall,10.0,S1 idea94,band3-rw,t+1,0.6659226105746371,0.13410612540663402,1.2025269424250273,-0.17714790237343914,4.811100274196855,1.1357379992068701,0.747063834691694,0.8820107671822842,False,True
universe.json(56),EWall,10.0,S1 idea94,band3-rw,t+2,0.6659226105746371,0.1355254279969842,1.2040694144572297,-0.18647398463505316,3.878358326622544,1.1450954714542154,0.7036789197984026,0.8820107671822842,False,True
universe.json(56),EWall,10.0,S1 idea94,band3-rw,nr,0.6659226105746371,0.13740924840949154,1.2049804301778642,-0.19681262902446317,2.8446276090944522,1.1352313324693541,0.7977862275788077,0.8820107671822842,False,True
universe.json(56),EWall,10.0,S2 lag-screened,band3-rw,t+1,0.6659226105746371,0.13410612540663402,1.2025269424250273,-0.17714790237343914,4.811100274196855,1.1357379992068701,0.747063834691694,0.8820107671822842,False,True
universe.json(56),EWall,10.0,S2 lag-screened,band3-rw,t+2,0.6659226105746371,0.1355254279969842,1.2040694144572297,-0.18647398463505316,3.878358326622544,1.1450954714542154,0.7036789197984026,0.8820107671822842,False,True
universe.json(56),EWall,10.0,S2 lag-screened,band3-rw,nr,0.6659226105746371,0.13740924840949154,1.2049804301778642,-0.19681262902446317,2.8446276090944522,1.1352313324693541,0.7977862275788077,0.8820107671822842,False,True
universe.json(56),EWall,25.0,S1 idea94,band3-rw,t+1,1.1456671816075013,0.12679061450189266,1.1426969456337832,-0.1789056935800939,4.657048392079854,1.1250416500196643,0.39920030769495,0.8820107671822842,False,True
universe.json(56),EWall,25.0,S1 idea94,band3-rw,t+2,1.1456671816075013,0.12819229105079755,1.1459872121696155,-0.18816255352753053,3.726093299504396,1.1344698571311476,0.35914745281543936,0.8820107671822842,False,True
universe.json(56),EWall,25.0,S1 idea94,band3-rw,nr,1.1456671816075013,0.1300437766741036,1.146876966014522,-0.1975580781286833,2.7918099372209015,1.1245379590178628,0.4644130164651798,0.8820107671822842,False,True
universe.json(56),EWall,25.0,S2 lag-screened,band3-rw,t+1,1.1456671816075013,0.12679061450189266,1.1426969456337832,-0.1789056935800939,4.657048392079854,1.1250416500196643,0.39920030769495,0.8820107671822842,False,True
universe.json(56),EWall,25.0,S2 lag-screened,band3-rw,t+2,1.1456671816075013,0.12819229105079755,1.1459872121696155,-0.18816255352753053,3.726093299504396,1.1344698571311476,0.35914745281543936,0.8820107671822842,False,True
universe.json(56),EWall,25.0,S2 lag-screened,band3-rw,nr,1.1456671816075013,0.1300437766741036,1.146876966014522,-0.1975580781286833,2.7918099372209015,1.1245379590178628,0.4644130164651798,0.8820107671822842,False,True
