panel,kind,q,k,draw,arm,n,Ebar,breadth,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,spy_S,spy_CAGR,spy_DD,spy_H1,spy_H2,spy_OOS_S,v2_S,v2_H1,v2_H2,v2_DD,v2_OOS_S,pass4a,pass4b,is525
q0.50_k40_d2,ladder,0.5,40,2,CAND15,15.0,20.335740072202167,0.5083935018050542,0.1090871090276,0.908831579795458,-0.24069602684968816,1.0643283067551692,0.7693514786483766,0.10323902561777065,0.8451029883632852,-0.24069602684968816,1.0218339663408225,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.999539847164335,1.148486280029211,0.8489457160790719,-0.11501059784261658,0.8972451430156004,False,False,True
q0.50_k40_d2,ladder,0.5,40,2,CAND20,20.0,20.335740072202167,0.5083935018050542,0.0972582839894327,0.9141650790524682,-0.1879319296738733,1.1131546707906417,0.7288880630339216,0.08807163600363954,0.8210218879501467,-0.18793192967387395,1.0748232990638957,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.999539847164335,1.148486280029211,0.8489457160790719,-0.11501059784261658,0.8972451430156004,False,False,True
q0.50_k40_d2,ladder,0.5,40,2,CAND30,30.0,20.335740072202167,0.5083935018050542,0.07285644745553799,0.9315639390183116,-0.13793261091224907,1.1786658465434912,0.7034865067116859,0.06695348244522603,0.8429425427672838,-0.13793261091224907,1.0860346236821532,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.999539847164335,1.148486280029211,0.8489457160790719,-0.11501059784261658,0.8972451430156004,False,False,True
q0.50_k40_d2,ladder,0.5,40,2,EWall,,20.335740072202167,0.5083935018050542,0.1108843977160483,0.8944955240598012,-0.2948205987202417,1.161028916538283,0.668674780861349,0.09612035377170569,0.7707169320044929,-0.294820598720241,1.1124868658616087,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.999539847164335,1.148486280029211,0.8489457160790719,-0.11501059784261658,0.8972451430156004,False,False,True
q0.50_k60_d0,ladder,0.5,60,0,CAND5,5.0,31.85800240673887,0.5309667067789812,0.13586458205687957,0.793039387517679,-0.3524813743067331,1.0505080799789988,0.5719723833415734,0.11332970777155871,0.6641692425327631,-0.352481374306734,1.0279062026621133,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.8910826911008917,1.1505738483847423,0.639962879849604,-0.12278461402154717,0.8068757712347608,False,False,True
q0.50_k60_d0,ladder,0.5,60,0,CAND10,10.0,31.85800240673887,0.5309667067789812,0.11255443508324992,0.7883012268315374,-0.27201473930432996,1.0018420146475866,0.6064784614907069,0.10291835697888829,0.7088294429585313,-0.2720147393043306,0.9339757321685471,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.8910826911008917,1.1505738483847423,0.639962879849604,-0.12278461402154717,0.8068757712347608,False,False,True
q0.50_k60_d0,ladder,0.5,60,0,CAND15,15.0,31.85800240673887,0.5309667067789812,0.09569851570605303,0.7425768638631008,-0.23086381136142897,1.028814255464903,0.49545591746559314,0.08998204266040988,0.683967290797559,-0.23086381136142975,0.8497984373598219,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.8910826911008917,1.1505738483847423,0.639962879849604,-0.12278461402154717,0.8068757712347608,False,False,True
q0.50_k60_d0,ladder,0.5,60,0,CAND20,20.0,31.85800240673887,0.5309667067789812,0.09392034267400651,0.788703607443881,-0.20391525099938423,1.030290036865409,0.5788378577311807,0.0910195491811494,0.7452255525518521,-0.20391525099938423,0.8685015266361006,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.8910826911008917,1.1505738483847423,0.639962879849604,-0.12278461402154717,0.8068757712347608,False,False,True
q0.50_k60_d0,ladder,0.5,60,0,CAND30,30.0,31.85800240673887,0.5309667067789812,0.0793477799228064,0.7768586982420425,-0.16411151611456076,0.9907625188898251,0.5860996617566239,0.07691418933455862,0.737599391979632,-0.1641115161145611,0.8467782996314692,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.8910826911008917,1.1505738483847423,0.639962879849604,-0.12278461402154717,0.8068757712347608,False,False,True
q0.50_k60_d0,ladder,0.5,60,0,EWall,,31.85800240673887,0.5309667067789812,0.09652128682756267,0.813928041048003,-0.20891444241661572,0.9798706175490421,0.6829010210335338,0.09821275869464219,0.8026208382467811,-0.20891444241661594,0.836256065317466,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.8910826911008917,1.1505738483847423,0.639962879849604,-0.12278461402154717,0.8068757712347608,False,False,True
