panel,book,cost,mode,ceil,screened,n_adm,arm,m,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,gross
small,EWall,10.0,family,0.85,False,0,control,0.85,0.7736830999544864,0.08731735545130492,0.6373053526328509,-0.313736428783966,0.6376342495562964
small,EWall,25.0,family,0.85,False,0,control,0.85,0.7569319859198256,0.0847160389725381,0.6211919430385503,-0.31612476053744587,0.6376342495562964
u56,V1u,10.0,family,0.9,False,0,ebud-0.10,0.8,0.599836488309743,0.027218385269575762,0.5695479818607977,-0.0909047518676167,0.36947505325454116
u56,V1u,25.0,family,0.9,False,0,ebud-0.10,0.85,0.30165615292272896,0.010885355937885866,0.24179529909872366,-0.1091659616966637,0.374514670087127
u56,TOP20,10.0,family,0.9,True,20,ebud-0.20,0.75,1.187557621456552,0.1243113943211902,1.167124733493759,-0.17014210377791916,0.560313375886336
u56,TOP20,25.0,family,0.9,False,0,ebud-0.20,0.75,1.0690687277640532,0.11302931306425279,1.0712042196541898,-0.17118080543662506,0.560313375886336
u56,EWall,10.0,family,0.9,True,8,control,0.9,1.1094406990627559,0.12422196316446965,1.1358057626415814,-0.2044930957248644,0.6752717606034936
u56,EWall,25.0,family,0.9,True,7,control,0.9,1.0986739873010272,0.12291033571021237,1.1250050453639198,-0.20470223926548603,0.6752717606034936
broad,V1u,10.0,family,0.9,False,0,ebud-0.20,0.75,0.7275112288082732,0.029470785411441325,0.4483970115983604,-0.17188349870939013,0.48048548572220634
broad,V1u,25.0,family,0.9,False,0,ebud-0.10,0.9,0.3384871952477406,-0.000547076451481221,0.008489585994669674,-0.11339216542837016,0.30167933082893655
broad,TOP20,10.0,family,0.9,True,53,ebud-0.10,0.9,1.1229895367628036,0.11540074674467093,0.8668778367462598,-0.21523733037079607,0.6143253880120628
broad,TOP20,25.0,family,0.9,True,6,ebud-0.10,0.9,0.9961033446833448,0.09912683159137181,0.7593993748390827,-0.21652477908545253,0.6143253880120628
broad,EWall,10.0,family,0.9,True,21,vol60-dg,0.9,1.1560811953025596,0.10802040339745766,1.1229869961776722,-0.16911044040234124,0.6510398288690958
broad,EWall,25.0,family,0.9,True,19,vol60-dg,0.9,1.1385975310455634,0.10585640545923414,1.1024479049984037,-0.1692341586637609,0.6510398288690958
small,V1u,10.0,family,0.9,False,0,ddctl-8/.5/high,0.65,0.6521534153031082,0.025205730279263205,0.4431321705944808,-0.15878404235998755,0.31441689518961186
small,V1u,25.0,family,0.9,False,0,ebud-0.10,0.55,0.3345266507133192,-0.0051370045036592815,-0.08032899661556017,-0.21615856687247348,0.25720349749242327
small,TOP20,10.0,family,0.9,False,0,ebud-0.10,0.55,0.7215547596671987,0.0912221901498882,0.7812637673835188,-0.17234949340241323,0.403366427178002
