panel,cost,pool,N,grid,K,distinct_rand_scores,pct_step_at_one_end,min_attainable_p,rand_mean,exact_pool_mean,mc_se,rand_median,rand_sd,median_atom_mass,G7,G8
B136,10.0,WIDE20,20,Q32,32,2000,0.05,0.025,1.0731778387644861,1.072743862589561,0.00019502454125870305,1.0728413872425877,0.008721762630703449,0.0,True,True
B136,10.0,WIDE40,40,REC1,1,40,0.025,0.0125,1.1125278945997807,1.1115637649273222,0.001154988905796893,1.1010926122713844,0.05165267413239907,0.03,True,True
B136,10.0,WIDE40,40,Q8,8,2000,0.025,0.0125,1.0247865519271409,1.024838017659477,0.00045329194478283604,1.0234892288893385,0.020271832043750052,0.0,True,True
B136,10.0,WIDE40,40,Q16,16,2000,0.025,0.0125,1.0614366524197658,1.06114373363623,0.00029467689293438914,1.0611937478449023,0.013178351279994432,0.0,True,True
B136,10.0,WIDE40,40,Q32,32,2000,0.025,0.0125,1.073095462915708,1.0729331436191356,0.00016680266298995587,1.0728507490899766,0.007459641865470593,0.0,True,True
B136,10.0,WIDE80,80,REC1,1,80,0.0125,0.00625,1.117116476457692,1.1171042749150435,0.0012837434527720238,1.106827770282897,0.05741075252137072,0.0155,True,True
B136,10.0,WIDE80,80,Q8,8,2000,0.0125,0.00625,1.0307393613780034,1.030607388586037,0.0004917872341776225,1.0303152302941065,0.021993393721755437,0.0,True,True
B136,10.0,WIDE80,80,Q16,16,2000,0.0125,0.00625,1.0659051434239495,1.0659672865240684,0.00031468881547954547,1.0657977080154006,0.014073311663423037,0.0,True,True
B136,10.0,WIDE80,80,Q32,32,2000,0.0125,0.00625,1.0744857084147998,1.074209499782202,0.0002047008285368609,1.0743371655390976,0.009154499353178996,0.0,True,True
B136,25.0,GRID18,18,REC1,1,18,0.05555555555555555,0.027777777777777776,1.0405517416713042,1.0404148188842632,0.0011563311897114191,1.0610941148180033,0.051712702893958774,0.048,True,False
B136,25.0,GRID18,18,Q8,8,2000,0.05555555555555555,0.027777777777777776,0.9546248487402776,0.9544378510708715,0.0003621771265908982,0.9550552988448255,0.0161970534990559,0.0,True,True
