panel,tau,mode,bps,kind,on_share,d_real,null_max_abs,null_mean,clears_two,clears_signed,clears_signed_IS,gap,overlap,pass4a,pass4b
BROAD136,0.2,half,10,RS2,0.6410256410256411,0.013115520709434336,0.03768524488378866,0.01803556783610839,False,False,False,0.024008684037774026,0.8404,False,False
BROAD136,0.2,half,10,RS4,0.6410256410256411,0.013115520709434336,0.020583587260571523,0.013267745295634154,False,False,False,0.006594610377394671,0.9053599999999999,False,False
BROAD136,0.2,half,10,RS8,0.6410256410256411,0.013115520709434336,0.016894682695137053,0.01152761043390404,False,False,False,0.0027261741140467526,0.9777599999999997,False,False
BROAD136,0.2,half,25,ROT,0.6410256410256411,0.053573707270202386,0.06542722066194429,0.052901143137932885,False,False,False,0.07370544822448037,0.64488,False,False
BROAD136,0.2,half,25,RS1,0.6410256410256411,0.053573707270202386,0.08074452283397926,0.053495733415711066,False,False,False,0.07881218573132806,0.64104,False,False
BROAD136,0.2,half,25,RS16,0.6410256410256411,0.053573707270202386,0.059750854941376996,0.05139834284003937,False,False,False,0.0015673817202510735,0.9810399999999998,False,False
BROAD136,0.2,half,25,RS2,0.6410256410256411,0.053573707270202386,0.0752988971187496,0.05570266702643496,False,False,False,0.024008684037774026,0.8404,False,False
BROAD136,0.2,half,25,RS4,0.6410256410256411,0.053573707270202386,0.06002190926333173,0.05278457457583184,False,False,False,0.006594610377394671,0.9053599999999999,False,False
BROAD136,0.2,half,25,RS8,0.6410256410256411,0.053573707270202386,0.056927160756503614,0.05164211431159651,False,False,False,0.0027261741140467526,0.9777599999999997,False,False
BROAD136,0.2,skip,10,ROT,0.6410256410256411,-0.03391514365775361,0.09653107043731746,0.033184937388612605,False,False,True,0.24794374300518515,0.64488,False,False
BROAD136,0.2,skip,10,RS1,0.6410256410256411,-0.03391514365775361,0.1124444179202917,0.03443295994274685,False,False,False,0.2986495281855934,0.6402399999999999,False,False
