pool,lam,subset,n,MAE,RMSE,bias,maxAE,R2_vs_zero
CELL,0.75,panel:U56,54,0.1291404171963427,0.20401915858222874,0.02966740457677168,0.6568042249609046,0.6096804326841316
CELL,0.75,panel:B136,54,0.1760523356731218,0.3058017663247991,0.13435881965953841,0.8270880664964401,0.5518596639277422
CELL,1.0,ALL,162,0.2088411461902651,0.3540145519734317,0.1354816297843775,1.1380745803190937,0.3414950815564928
CELL,1.0,MA-THRESH,81,0.396578745525059,0.49975319119332545,0.2785174613263239,1.1380745803190937,0.33950574169369097
CELL,1.0,QUANTILE,81,0.021103546855471222,0.02998922989986081,-0.007554201757568899,0.08680096513771218,0.6414177349686485
CELL,1.0,panel:SMALL439,54,0.3178909096335727,0.4829516936305314,0.26622099980420333,1.1380745803190937,0.0876325914561974
CELL,1.0,panel:U56,54,0.1426920713008957,0.2284844827925819,0.016416509887820348,0.6126360015698653,0.5104558769576248
CELL,1.0,panel:B136,54,0.16594045763632692,0.300884382727413,0.12380737966110873,0.8421877542813982,0.5661562460894058
CBAR-OLS,0.0,ALL,162,0.24582031093199894,0.3779621765424115,0.13548162978437747,1.3508260715491507,0.24939150194997195
CBAR-OLS,0.0,MA-THRESH,81,0.3972718651465189,0.524490781812049,0.3650004205524303,1.3508260715491507,0.27249896765474313
CBAR-OLS,0.0,QUANTILE,81,0.09436875671747891,0.1030545175503709,-0.09403716098367543,0.17631283933825373,-3.2344035787183225
CBAR-OLS,0.0,panel:SMALL439,54,0.3107804825823227,0.446741321483981,0.17101166105467933,1.3508260715491507,0.21931717438114895
CBAR-OLS,0.0,panel:U56,54,0.168663945183564,0.27417620469004755,0.06942008864362571,1.2655264811230151,0.295083071551129
CBAR-OLS,0.0,panel:B136,54,0.2580165050301101,0.3921936016185611,0.1660131396548273,0.999620710492423,0.2628853129025013
CBAR-OLS,0.25,ALL,162,0.23250833468170937,0.37013423115087224,0.1359655273664804,1.3745085332642772,0.28016112324418097
CBAR-OLS,0.25,MA-THRESH,81,0.3909920895937556,0.5168324582599801,0.3443457612309269,1.3745085332642772,0.29358899613857703
CBAR-OLS,0.25,QUANTILE,81,0.07402457976966322,0.0829632944635191,-0.07241470649796612,0.15662489163545018,-1.7442909794231247
CBAR-OLS,0.25,panel:SMALL439,54,0.30893741642644956,0.4564366749919391,0.19541225278217136,1.3745085332642772,0.18506411451042937
CBAR-OLS,0.25,panel:U56,54,0.15320422879509346,0.25300935134721264,0.05653002010846658,1.2031090456188516,0.39972319010877055
CBAR-OLS,0.25,panel:B136,54,0.23538335882358513,0.37235719015765983,0.1559543092088033,0.9734216043250936,0.33556340315136524
CBAR-OLS,0.5,ALL,162,0.22234124451918177,0.36579416958578975,0.13644942494858334,1.3981909949794036,0.2969432983427197
CBAR-OLS,0.5,MA-THRESH,81,0.38920559557865547,0.5133241006479387,0.32369110190942346,1.3981909949794036,0.3031469511465501
CBAR-OLS,0.5,QUANTILE,81,0.05547689345970816,0.0641023923102719,-0.05079225201225679,0.13810584140921328,-0.6383498833624652
CBAR-OLS,0.5,panel:SMALL439,54,0.3084544011836728,0.4672973133665838,0.21981284450966324,1.3981909949794036,0.1458208928782171
CBAR-OLS,0.5,panel:U56,54,0.13998632505861874,0.23645234470208798,0.043639951573307474,1.1406916101146878,0.4757171286500542
CBAR-OLS,0.5,panel:B136,54,0.2185830073152539,0.3565664497875962,0.14589547876277928,0.9601152395682173,0.39072268262382936
CBAR-OLS,0.75,ALL,162,0.2169878797974402,0.3650664092964561,0.13693332253068627,1.4218734566945301,0.29973802724558807
CBAR-OLS,0.75,MA-THRESH,81,0.3944404907211054,0.5140506856241875,0.30303644258792,1.4218734566945301,0.30117283267866213
CBAR-OLS,0.75,QUANTILE,81,0.03953526887377491,0.047946418036366255,-0.029169797526547452,0.12084443895434538,0.0834197094636544
CBAR-OLS,0.75,panel:SMALL439,54,0.309162713900388,0.47924402002220545,0.24421343623715522,1.4218734566945301,0.10158750948451256
CBAR-OLS,0.75,panel:U56,54,0.12990016121107015,0.22552279165568181,0.030749883038148344,1.0782741746105242,0.5230648871749803
CBAR-OLS,0.75,panel:B136,54,0.21190076428086232,0.34537673532912827,0.13583664831675527,0.9468088748113409,0.42836315131989444
CBAR-OLS,1.0,ALL,162,0.21796029866452743,0.3679723836792614,0.1374172201127892,1.4455559184096565,0.2885453099527864
CBAR-OLS,1.0,MA-THRESH,81,0.4055861159179133,0.5189944269114078,0.2823817832664165,1.4455559184096565,0.2876666407349132
CBAR-OLS,1.0,QUANTILE,81,0.030334481411141527,0.03810689092663584,-0.007547343040838126,0.10364932648414185,0.4210177990552346
CBAR-OLS,1.0,panel:SMALL439,54,0.3098710266171035,0.4921977176094457,0.2686140279646472,1.4455559184096565,0.05236396432931545
CBAR-OLS,1.0,panel:U56,54,0.1319520278945295,0.22105697589605344,0.01785981450298923,1.0158567391063604,0.5417664656835488
CBAR-OLS,1.0,panel:B136,54,0.21205784148194945,0.3392436375815127,0.1257778178707312,0.9335025100544645,0.44848480923956
