panel,book,g,levered,CAGR,Vol,Sharpe,MaxDD,H1,H2,lam,s,v,rho,IS_CAGR,IS_Vol,IS_Sharpe,IS_MaxDD,IS_lam,OOS_CAGR,OOS_Vol,OOS_Sharpe,OOS_MaxDD,OOS_lam,f4b,f4a,pass4b,pass4a
u56,TOP5,0.1,False,0.02226362584531305,0.023679669095045798,0.9417646448398429,-0.03090429269178563,0.8925502577022482,0.9893708095309277,1.3050981653392846,1.0593175272162185,0.1336577242440675,0.6857610109193035,0.019319493021590084,0.021787602040588952,0.889184885595113,-0.025546372963349717,1.1725187983403775,0.02469966511747579,0.025137493049129718,0.9832547360368346,-0.030904292691785407,1.2294102928794381,"H1,CAGR",-,False,True
u56,TOP5,0.2,False,0.044500053432438236,0.04735367942107497,0.9431808928754906,-0.06114081162199636,0.89365286291461,0.9910494912182977,1.291152289948252,1.0609105540677437,0.2672835080845023,0.6784331808293554,0.03856760114261948,0.043581105740790334,0.8901690060401318,-0.05072316179396097,1.163879643064814,0.04942130336387751,0.05026102258976881,0.9849794764178516,-0.06114081162199392,1.2164657317266723,"H1,CAGR",-,False,True
u56,TOP5,0.3,False,0.06668560030231219,0.07102337927511286,0.9445663946824031,-0.09071660715500585,0.8947295260406122,0.9926936284317338,1.2772781030822289,1.0624689968868644,0.4008849618604222,0.671143019319969,0.057724870713689036,0.06538142330156906,0.891125582669847,-0.07552818848043918,1.155193396938892,0.07413755756806406,0.07537225009303267,0.9866714294038793,-0.09071660715500551,1.2035809869419205,"H1,CAGR",-,False,True
u56,TOP5,0.4,False,0.08879568386090275,0.09469012148111636,0.9459185469398039,-0.11963828610922622,0.8957721759571474,0.9943052253167495,1.2634716719957442,1.0639899274012745,0.5344697214627958,0.6638884599385342,0.07677060170483996,0.08718944194814988,0.8920462327558988,-0.09995916442735997,1.1464595046588786,0.09882041901807681,0.10047286271800339,0.9883321228778683,-0.11963828610922655,1.1907522376964081,"H1,CAGR",-,False,True
u56,TOP5,0.5,False,0.11080438928050107,0.11835523731156737,0.9472316760223556,-0.1479108994850462,0.8967800531775821,0.995874402608735,1.249719935043299,1.0654669637927616,0.6680453011372643,0.6566626394716474,0.09568395305762367,0.1090060697222256,0.892931919478921,-0.1240144196380133,1.1376836166466022,0.12343950528426118,0.12556449667912203,0.9899510893042444,-0.14791089948504577,1.1779675258288145,H1,DD,False,False
u56,TOP5,0.6,False,0.13268561124513045,0.14202013398090255,0.9485063982288415,-0.1755405555562014,0.8977452315149766,0.9974089958976959,1.2360258410952236,1.0669007992877138,0.8016196437768794,0.6494671073968514,0.11444241533604504,0.13083224699647092,0.8937742896853708,-0.14769441969348562,1.1288839187900637,0.14796545081882373,0.15064889498325182,0.9915353764955672,-0.17554055555620163,1.1652296259837625,H1,DD,False,False
u56,TOP5,0.7,False,0.15441101718408512,0.16568611421537668,0.9497349927479488,-0.20253584432321436,0.8986642667315319,0.9988976265516795,1.222406870257917,1.0682827493482339,0.935200102500717,0.6423110485982828,0.13302293095120699,0.15266879473103762,0.894570038904392,-0.17099590865286862,1.1200449244006843,0.17236520734107974,0.1757277077185037,0.9930740664815022,-0.20253584432321403,1.1525549781122393,"H1,DD",DD,False,False
u56,TOP5,0.8,False,0.175951062958279,0.18935443926768783,0.9509114066991555,-0.2289030962734644,0.8995353483027393,1.0003305849408681,1.2088604690691573,1.0696060055615597,1.0687937963341585,0.6351931213647347,0.15140180782950052,0.1745165935807139,0.8953164000372407,-0.1939181371656532,1.1111730591736888,0.19660397614612135,0.20080247137867258,0.9945587071553803,-0.2289030962734645,1.1399416287153152,"H1,DD",DD,False,False
u56,TOP5,0.9,False,0.19727704160174908,0.2130264141583446,0.9520380946942643,-0.2546495944191306,0.9003567479799557,1.0017138720506378,1.1953897615243483,1.0708733289288812,1.2024080913459856,0.6281149671928413,0.1695542818299658,0.19637654478974423,0.8960090446630362,-0.2164602570477867,1.102271441223012,0.2206493911888292,0.2258747820382822,0.9959966228815833,-0.25464959441913004,1.1273927621365494,"H1,DD",DD,False,False
u56,TOP5,1.0,False,0.21836181231892193,0.23670345107424343,0.9531235225670636,-0.2797828291692974,0.9011327738282816,1.003059567726536,1.1819972539460013,1.0720942420057156,1.336050958495844,0.621077903024351,0.18745746742442937,0.21824940306909152,0.8966548685448882,-0.23862173868918335,1.0933442902184825,0.24447036404287448,0.2509465258828372,0.9973974609596662,-0.2797828291692982,1.1149101514157809,"H1,DD",DD,False,False
