arm,G,max_vol,bps,CAGR,Sharpe,MaxDD,H1,H2,oCAGR,oSharpe,oMaxDD,TO,y2020,y2022,p4a,p4b,fail4b,iSharpe,dd2020,dd2022,Vol
EXCL,0.75,99.0,10,0.11550691660622414,1.0909381206258195,-0.18647417592895066,1.1669184271720376,1.0365621820032391,0.12429531928088178,1.1117793930546764,-0.18647417592895066,7.615898615619929,0.2592371873819823,-0.10819542835874929,False,True,-,1.066931213567825,-0.18647417592895066,-0.1470781138137648,0.10531670203058417
EXCL,0.75,99.0,25,0.1028300216789182,0.9816354478187442,-0.18898692082638568,1.0530504697277103,0.9301972371783876,0.11142335315888796,1.0071789681137024,-0.18898692082638602,7.615898615619929,0.2445685972064331,-0.13001919285103902,False,False,CAGR,0.9507261387853188,-0.1889869208263858,-0.160831014927314,0.10540588900924698
EXCL,0.85,0.3,10,0.08326108722785586,0.896461281186712,-0.2407457101681365,1.038120357366434,0.7619950037092496,0.08212870272026707,0.8887201882801619,-0.24074571016813684,11.95752180843157,0.11269738185464528,-0.18784205362668016,False,False,"H2,DD,CAGR",0.905552869314457,-0.12020807146428192,-0.23163701489909982,0.09418560254174302
EXCL,0.85,0.3,25,0.06399282606141732,0.7047878125242921,-0.2679402938918596,0.8635747180875941,0.5539394820663428,0.06182983022898347,0.6857550108069083,-0.267940293891859,11.95752180843157,0.08754025774470131,-0.21890227513159022,False,False,"H1,H2,OOS,DD,CAGR",0.7274745768240014,-0.1267679889494453,-0.2545470203697644,0.09435104017065284
EXCL,0.85,0.4,10,0.10460191757805926,1.0051108139400562,-0.16877848426755626,1.0515196021499025,0.9643135738149675,0.1125101341094581,1.062158621435514,-0.1687784842675566,10.324637403400034,0.11496390493705677,-0.0978594231969141,False,False,CAGR,0.934112451698693,-0.16877848426755637,-0.1642732234214208,0.1044392377371
EXCL,0.85,0.4,25,0.08762042558424632,0.8559757929512835,-0.17734892019277992,0.9049575669299811,0.8124897783685228,0.09517887550413784,0.9131195645248057,-0.1773489201927806,10.324637403400034,0.09347403855388925,-0.12646407341943788,False,False,"H1,H2,CAGR",0.7849269046037667,-0.17080826093520307,-0.17734892019278037,0.10454273576543599
EXCL,0.85,0.5,10,0.11335047084077732,1.0382503405708485,-0.1786182995682627,1.048745749405132,1.031135252271633,0.12579340990948662,1.122265857213482,-0.1786182995682628,9.646109367762985,0.1286679714038963,-0.07575927331051668,False,True,-,0.9326045153600524,-0.1786182995682627,-0.15103703532110457,0.10919879293746818
EXCL,0.85,0.5,25,0.09735250138772211,0.9050360719589724,-0.18037919290933846,0.9178320097992441,0.8955268926954808,0.10936138725258471,0.9893037984801343,-0.18037919290933824,9.646109367762985,0.10887375818676359,-0.10319233571773401,False,False,"H1,CAGR",0.7990601498271726,-0.1803791929093379,-0.16221647601226885,0.10928461634851953
EXCL,0.85,0.6,10,0.11793248564342873,1.0490930888026992,-0.17894161893053906,1.0685907864545416,1.0345284652321871,0.1285177200366141,1.1118774219366272,-0.17894161893053884,9.273408804009332,0.17072843110313873,-0.10520954776479652,False,True,-,0.9697501887893162,-0.17894161893053873,-0.17106814889568533,0.11231554653698601
EXCL,0.85,0.6,25,0.10248473262096969,0.9245486165181046,-0.18111643169501057,0.9459518714879988,0.9079218833029031,0.11262665647795234,0.9876271867370682,-0.18111643169501057,9.273408804009332,0.15152612340464477,-0.13089884532899843,False,False,"H1,CAGR",0.8447915463875659,-0.18068420740758961,-0.1811164316950108,0.11240009294741182
