default,pool,panel,book,cost,pool_empty,n_pool,n_arms,moved_off_control,cell_arms_pass4b,TO_ratio,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctl_OOS_Sharpe,ctl_OOS_CAGR,ctl_OOS_MaxDD,d_OOS_Sharpe,d_OOS_CAGR,d_OOS_MaxDD,rand_pctile,v1_OOS_Sharpe,v2_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,beat_v2,beat_spy,arm,TO,pass4a_v2,pass4a_v1,pass4b,fail4b,pass4b_oos,fail4b_oos,full_CAGR,full_Sharpe,full_MaxDD,H1,H2
K_CAGR,P_S1,broad,EWall,0.0,False,5,17,True,4,1.5677966562516243,0.1217256495607002,1.1360571399639032,-0.1868755829279981,1.1094375225693065,0.1403681035306461,-0.25357542583688464,0.02661961739459673,-0.018642453969945905,0.06669984290888653,0.8,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,vol60-dg,1.3572505940322879,False,False,True,-,True,-,0.12512001118682492,1.1507828583070434,-0.18687558292799833,1.266690070541457,1.0406740265329222
K_Random,P_S1,broad,EWall,0.0,False,5,17,True,4,9.54885330235216,0.1152808427800831,1.100499453025563,-0.173426895186108,1.1094375225693065,0.1403681035306461,-0.25357542583688464,-0.008938069543743543,-0.025087260750563,0.08014853065077665,0.2,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,v1gate-rw,8.266497294317862,False,True,True,-,True,-,0.11635195735512016,1.1054296734148639,-0.17342689518610777,1.2204607832278112,0.9979510875058692
D_NONE,P_ALL,broad,EWall,10.0,False,17,17,False,4,1.0,0.13933574083806333,1.1022031339130582,-0.2537106610635026,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.0,0.0,0.0,0.6470588235294118,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,control,0.8657057588560485,False,False,False,DD,False,DD,0.14157411947237497,1.1219549467170122,-0.2537106610635025,1.2311809584625346,1.0240240275629424
MENU_SEP,P_ALL,broad,EWall,10.0,False,17,17,True,4,3.430143929472251,0.11253946388121405,1.127375650953449,-0.1906114235686278,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.025172517040390696,-0.026796276956849274,0.06309923749487478,1.0,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,MENU_SEP(17),2.969495353449243,False,True,True,-,True,-,0.11265209930432696,1.125520481497167,-0.1906114235686276,1.2346730422721777,1.0242102703687623
MENU_NET,P_ALL,broad,EWall,10.0,False,17,17,True,4,2.7470747332278975,0.1132399721179167,1.1338506488103957,-0.1902375357169337,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.031647514897337414,-0.026095768720146628,0.0634731253465689,1.0,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,MENU_NET(17),2.378158416563334,False,True,True,-,True,-,0.11331088835414005,1.131566498904062,-0.19023753571693336,1.2401075714948415,1.030824120566947
K_Sharpe,P_ALL,broad,EWall,10.0,False,17,17,True,4,1.5677966562516243,0.12011126700793429,1.1224553129457142,-0.18696236312424186,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.02025217903265597,-0.01922447383012904,0.06674829793926074,0.8823529411764706,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,vol60-dg,1.3572505940322879,False,True,True,-,True,-,0.12359420654058484,1.1381201336577496,-0.18696236312424186,1.2550969789577595,1.0269842529994457
K_CAGR,P_ALL,broad,EWall,10.0,False,17,17,False,4,1.0,0.13933574083806333,1.1022031339130582,-0.2537106610635026,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.0,0.0,0.0,0.6470588235294118,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,control,0.8657057588560485,False,False,False,DD,False,DD,0.14157411947237497,1.1219549467170122,-0.2537106610635025,1.2311809584625346,1.0240240275629424
K_Random,P_ALL,broad,EWall,10.0,False,17,17,True,4,1.9311943430713778,0.13287927830521795,1.0951469664818427,-0.26584745557548783,1.1022031339130582,0.13933574083806333,-0.2537106610635026,-0.00705616743121551,-0.006456462532845375,-0.012136794511985238,0.47058823529411764,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,stop25,1.6718460642671151,False,False,False,DD,False,DD,0.13625057115969552,1.1143405312789172,-0.2658474555754874,1.2254528674126988,1.0115014778287612
D_NONE,P_S1,broad,EWall,10.0,False,5,17,False,4,1.0,0.13933574083806333,1.1022031339130582,-0.2537106610635026,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.0,0.0,0.0,0.8,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,control,0.8657057588560485,False,False,False,DD,False,DD,0.14157411947237497,1.1219549467170122,-0.2537106610635025,1.2311809584625346,1.0240240275629424
MENU_SEP,P_S1,broad,EWall,10.0,False,5,17,True,4,6.40069570365522,0.11869816631614394,1.0928981674275657,-0.1853685348412396,1.1022031339130582,0.13933574083806333,-0.2537106610635026,-0.009304966485492505,-0.02063757452191939,0.06834212622226299,0.8,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,MENU_SEP(5),5.541119131339491,False,True,True,-,True,-,0.11721008577357384,1.0896970128186187,-0.18536853484123939,1.1956474722378856,0.9951576846269883
