panel,sleeve,gross,CAGR,Sharpe,MaxDD,H1,H2,vol,sbar,sbar_oos,turn,drag_bp,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,IS_CAGR,IS_vol,IS_sbar,keep4a,keep4b,keep4a_oos,keep4b_oos,fail_legs,fail_legs_oos,FD_resid_daily,FD_CAGR,FD_dCAGR,FD_dSharpe,FD_dMaxDD,script
U56,IEF,0.4,0.10399601629758193,1.2640808320080321,-0.15494583382214655,1.5422341053876634,1.084373066685314,0.08086975261598801,0.5995346953784882,0.5994119070055299,1.951823068154877,19.51823068154877,0.10631196244823982,1.1732772761096408,-0.15494583382214622,1.4344741711630051,0.10118579579233411,0.0688588448836934,0.5996840358958729,False,False,False,False,CAGR,CAGR,1.3877787807814457e-17,0.1039960162975817,-2.220446049250313e-16,0.0,1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,IEF,0.5,0.1251096166342427,1.2706614070317055,-0.15197776890619386,1.506044871330563,1.1208787867268528,0.09645464208412591,0.4995232700389096,0.499395626664932,2.3588095735598897,23.5880957355989,0.1309662769924227,1.207261682893098,-0.15197776890619463,1.3968133356742745,0.11802735336946668,0.08231516844654964,0.49967851541802233,False,True,False,True,-,-,1.3877787807814457e-17,0.1251096166342427,0.0,0.0,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,IEF,0.6,0.14617253197253732,1.2548446019306168,-0.15221096052706218,1.4462384482072919,1.1332281802295763,0.11392526532767884,0.3995499843896445,0.3994276973255301,2.7383512759292357,27.38351275929236,0.1556925701288865,1.2166768957267167,-0.1522109605270625,1.337309916135361,0.1346994801130328,0.09811937137660173,0.39969871519358247,False,True,False,True,-,-,2.7755575615628914e-17,0.14617253197253732,0.0,0.0,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,IEF,0.75,0.17762312042223494,1.221695566124661,-0.19448205231817173,1.3599228225901936,1.134075571085695,0.14215166944153215,0.24965738845481575,0.24956214568531368,3.263296318325644,32.63296318325644,0.19286568379504399,1.213603399188733,-0.19448205231817128,1.2524388810414986,0.15934671656250132,0.12426153083402114,0.24977322682071246,False,True,False,True,-,-,4.163336342344337e-17,0.17762312042223494,0.0,0.0,1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,IEF,0.9,0.20883005261406296,1.1906216297667123,-0.23513013259791837,1.2908111844982888,1.1280481206939514,0.1717589219553488,0.09983985246315198,0.09979427765662803,3.7461518317352853,37.461518317352855,0.23006296114508884,1.2044816754617889,-0.23513013259791848,1.18492216646318,0.18349902509994664,0.15199700503590816,0.09989528250935277,False,False,False,False,DD,DD,5.551115123125783e-17,0.20883005261406296,0.0,0.0,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,TLT,0.4,0.10094283694271278,0.9426799065150087,-0.26687872034723104,1.2318877395637533,0.7315816458113391,0.10825285817202056,0.5994685821809791,0.599291589510498,2.0484224469285643,20.484224469285643,0.09511440183022923,0.8327267828561279,-0.2668787203472307,1.1178534259999875,0.10807345455269135,0.09594149823758004,0.5996838483038711,False,False,False,False,"H2,DD,CAGR","H2,DD,CAGR",1.3877787807814457e-17,0.100942836942713,2.220446049250313e-16,0.0,2.220446049250313e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,TLT,0.5,0.1230743147794302,1.0980989812054127,-0.238157013185185,1.4061237987711928,0.8930037706297986,0.1113758587169806,0.49945852025950815,0.4992732035229972,2.4554216808550855,24.554216808550855,0.12181439557401097,0.994939396538191,-0.23815701318518478,1.2833338034211499,0.12460859013008574,0.09505034748721125,0.49968391047068067,False,False,False,False,DD,"H2,DD",1.3877787807814457e-17,0.1230743147794302,0.0,0.0,-3.3306690738754696e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,TLT,0.6,0.1449720096617837,1.1853613699124894,-0.21251360518269702,1.4735975009694753,1.002393989291849,0.12035381409741079,0.3994917784659351,0.3993129540274944,2.8261899821982412,28.26189982198241,0.14853117030100682,1.1007573256999452,-0.21251360518269702,1.3501500012712928,0.14065806643487333,0.10130205105759901,0.3997092724640587,False,False,False,False,DD,DD,2.7755575615628914e-17,0.1449720096617837,0.0,0.0,-4.440892098500626e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,TLT,0.75,0.17729885857870298,1.2191197281748463,-0.19811198237236005,1.4278526395628686,1.087780930095023,0.14223378976101148,0.2496165514880708,0.24947575286452653,3.3246299539066912,33.24629953906691,0.18856024240276037,1.1771581437344736,-0.19811198237236027,1.31043779966485,0.16374598298677268,0.12138209684809546,0.2497877968493421,False,True,False,True,-,-,2.7755575615628914e-17,0.17729885857870298,0.0,0.0,-2.220446049250313e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
U56,TLT,0.9,0.20888299413075173,1.1971442848214815,-0.23425803167774295,1.3228040539504444,1.1179753680772453,0.17070766589968742,0.09982247944018924,0.09975436391884371,3.771541338619308,37.715413386193084,0.22841910055815795,1.1981330167998476,-0.23425803167774317,1.213106959078269,0.1855405901067022,0.14958594448811993,0.09990532447636487,False,False,False,False,DD,DD,4.163336342344337e-17,0.20888299413075173,0.0,2.220446049250313e-16,-1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
