panel,family,group,cost,selector,arm,IS_lift,OOS_lift,d_vs_ctl,pool_IS,pool_OOS,disp_sd,disp_span
broad,LOOKBACK,EXT,25.0,K_TO,lb=252,0.09325988096944327,0.11856106319098536,0.16478599432240193,0.8549732270397752,0.8420254453645738,0.2660802550433811,0.7395655229601764
broad,LOOKBACK,EXT,25.0,K_ANTI,lb=21,-0.47570521521363995,-0.2341187877097951,-0.18789385657837854,0.8549732270397752,0.8420254453645738,0.2660802550433811,0.7395655229601764
broad,LOOKBACK,EXT,25.0,K_MEDIAN,lb=252,0.09325988096944327,0.11856106319098536,0.16478599432240193,0.8549732270397752,0.8420254453645738,0.2660802550433811,0.7395655229601764
broad,MALEN,EXT,0.0,K_Sharpe,ma=150,0.09255152348408169,0.007375640631989588,-0.04510205768603215,1.0527051533638003,1.12263390397163,0.07781321149447633,0.1958141490075499
broad,MALEN,EXT,0.0,K_CAGR,ma=150,0.09255152348408169,0.007375640631989588,-0.04510205768603215,1.0527051533638003,1.12263390397163,0.07781321149447633,0.1958141490075499
broad,MALEN,EXT,0.0,K_Calmar,ma=150,0.09255152348408169,0.007375640631989588,-0.04510205768603215,1.0527051533638003,1.12263390397163,0.07781321149447633,0.1958141490075499
broad,MALEN,EXT,0.0,K_Sortino,ma=150,0.09255152348408169,0.007375640631989588,-0.04510205768603215,1.0527051533638003,1.12263390397163,0.07781321149447633,0.1958141490075499
broad,MALEN,EXT,0.0,K_MaxDD,ma=150,0.09255152348408169,0.007375640631989588,-0.04510205768603215,1.0527051533638003,1.12263390397163,0.07781321149447633,0.1958141490075499
broad,MALEN,EXT,0.0,K_Vol,ma=20,-0.10326262552346821,0.039016624772244546,-0.013461073545777191,1.0527051533638003,1.12263390397163,0.07781321149447633,0.1958141490075499
broad,MALEN,EXT,0.0,K_TO,ma=250,0.031081160708908318,0.051587377446249194,-0.000890320871772543,1.0527051533638003,1.12263390397163,0.07781321149447633,0.1958141490075499
broad,MALEN,EXT,0.0,K_ANTI,ma=20,-0.10326262552346821,0.039016624772244546,-0.013461073545777191,1.0527051533638003,1.12263390397163,0.07781321149447633,0.1958141490075499
broad,MALEN,EXT,0.0,K_MEDIAN,ma=250,0.031081160708908318,0.051587377446249194,-0.000890320871772543,1.0527051533638003,1.12263390397163,0.07781321149447633,0.1958141490075499
broad,MALEN,EXT,10.0,K_Sharpe,ma=150,0.11718622141499924,0.03490533929640671,-0.05459682377331343,0.9767489524799062,1.036217162036243,0.12027913440294813,0.3044990496602503
broad,MALEN,EXT,10.0,K_CAGR,ma=150,0.11718622141499924,0.03490533929640671,-0.05459682377331343,0.9767489524799062,1.036217162036243,0.12027913440294813,0.3044990496602503
broad,MALEN,EXT,10.0,K_Calmar,ma=150,0.11718622141499924,0.03490533929640671,-0.05459682377331343,0.9767489524799062,1.036217162036243,0.12027913440294813,0.3044990496602503
broad,MALEN,EXT,10.0,K_Sortino,ma=150,0.11718622141499924,0.03490533929640671,-0.05459682377331343,0.9767489524799062,1.036217162036243,0.12027913440294813,0.3044990496602503
broad,MALEN,EXT,10.0,K_MaxDD,ma=150,0.11718622141499924,0.03490533929640671,-0.05459682377331343,0.9767489524799062,1.036217162036243,0.12027913440294813,0.3044990496602503
broad,MALEN,EXT,10.0,K_Vol,ma=20,-0.18731282824525108,-0.054122872122894905,-0.14362503519261505,0.9767489524799062,1.036217162036243,0.12027913440294813,0.3044990496602503
broad,MALEN,EXT,10.0,K_TO,ma=250,0.06941484605277148,0.0941411960114249,0.004639032941704757,0.9767489524799062,1.036217162036243,0.12027913440294813,0.3044990496602503
broad,MALEN,EXT,10.0,K_ANTI,ma=20,-0.18731282824525108,-0.054122872122894905,-0.14362503519261505,0.9767489524799062,1.036217162036243,0.12027913440294813,0.3044990496602503
broad,MALEN,EXT,10.0,K_MEDIAN,ma=250,0.06941484605277148,0.0941411960114249,0.004639032941704757,0.9767489524799062,1.036217162036243,0.12027913440294813,0.3044990496602503
broad,MALEN,EXT,25.0,K_Sharpe,ma=150,0.15415007140304493,0.07633976068811676,-0.06887807160539217,0.8626828896567148,0.9063078765433241,0.187437636900669,0.46763429017405633
broad,MALEN,EXT,25.0,K_CAGR,ma=150,0.15415007140304493,0.07633976068811676,-0.06887807160539217,0.8626828896567148,0.9063078765433241,0.187437636900669,0.46763429017405633
broad,MALEN,EXT,25.0,K_Calmar,ma=150,0.15415007140304493,0.07633976068811676,-0.06887807160539217,0.8626828896567148,0.9063078765433241,0.187437636900669,0.46763429017405633
broad,MALEN,EXT,25.0,K_Sortino,ma=150,0.15415007140304493,0.07633976068811676,-0.06887807160539217,0.8626828896567148,0.9063078765433241,0.187437636900669,0.46763429017405633
broad,MALEN,EXT,25.0,K_MaxDD,ma=150,0.15415007140304493,0.07633976068811676,-0.06887807160539217,0.8626828896567148,0.9063078765433241,0.187437636900669,0.46763429017405633
broad,MALEN,EXT,25.0,K_Vol,ma=20,-0.3134842187710114,-0.19434476905689224,-0.33956260135040117,0.8626828896567148,0.9063078765433241,0.187437636900669,0.46763429017405633
broad,MALEN,EXT,25.0,K_TO,ma=250,0.12699093223729752,0.1581733307912896,0.01295549849778066,0.8626828896567148,0.9063078765433241,0.187437636900669,0.46763429017405633
broad,MALEN,EXT,25.0,K_ANTI,ma=20,-0.3134842187710114,-0.19434476905689224,-0.33956260135040117,0.8626828896567148,0.9063078765433241,0.187437636900669,0.46763429017405633
broad,MALEN,EXT,25.0,K_MEDIAN,ma=250,0.12699093223729752,0.1581733307912896,0.01295549849778066,0.8626828896567148,0.9063078765433241,0.187437636900669,0.46763429017405633
broad,VOLCAP,EXT,0.0,K_Sharpe,vcap=none,0.03852150835000767,0.05571954982525695,0.0352203344798232,1.0784170204795165,1.0924157795379925,0.048757066899732575,0.13544005366773737
broad,VOLCAP,EXT,0.0,K_CAGR,vcap=none,0.03852150835000767,0.05571954982525695,0.0352203344798232,1.0784170204795165,1.0924157795379925,0.048757066899732575,0.13544005366773737
broad,VOLCAP,EXT,0.0,K_Calmar,vcap=none,0.03852150835000767,0.05571954982525695,0.0352203344798232,1.0784170204795165,1.0924157795379925,0.048757066899732575,0.13544005366773737
broad,VOLCAP,EXT,0.0,K_Sortino,vcap=none,0.03852150835000767,0.05571954982525695,0.0352203344798232,1.0784170204795165,1.0924157795379925,0.048757066899732575,0.13544005366773737
broad,VOLCAP,EXT,0.0,K_MaxDD,vcap=0.25,-0.0969185453177297,-0.171087440000241,-0.19158665534567476,1.0784170204795165,1.0924157795379925,0.048757066899732575,0.13544005366773737
broad,VOLCAP,EXT,0.0,K_Vol,vcap=0.25,-0.0969185453177297,-0.171087440000241,-0.19158665534567476,1.0784170204795165,1.0924157795379925,0.048757066899732575,0.13544005366773737
broad,VOLCAP,EXT,0.0,K_TO,vcap=none,0.03852150835000767,0.05571954982525695,0.0352203344798232,1.0784170204795165,1.0924157795379925,0.048757066899732575,0.13544005366773737
broad,VOLCAP,EXT,0.0,K_ANTI,vcap=0.25,-0.0969185453177297,-0.171087440000241,-0.19158665534567476,1.0784170204795165,1.0924157795379925,0.048757066899732575,0.13544005366773737
broad,VOLCAP,EXT,0.0,K_MEDIAN,vcap=0.45,0.017603051353191068,0.025449934486152515,0.004950719140718762,1.0784170204795165,1.0924157795379925,0.048757066899732575,0.13544005366773737
broad,VOLCAP,EXT,10.0,K_Sharpe,vcap=none,0.04839230981673581,0.07076127124695941,0.03828824476826065,1.04276958238986,1.0477470083218832,0.06214220848761631,0.1714657649445236
broad,VOLCAP,EXT,10.0,K_CAGR,vcap=none,0.04839230981673581,0.07076127124695941,0.03828824476826065,1.04276958238986,1.0477470083218832,0.06214220848761631,0.1714657649445236
broad,VOLCAP,EXT,10.0,K_Calmar,vcap=none,0.04839230981673581,0.07076127124695941,0.03828824476826065,1.04276958238986,1.0477470083218832,0.06214220848761631,0.1714657649445236
