outcome,device,m,cells,native_claims,bar,real_share,real_sub_p5,real_sub_med,real_sub_p95,null_p5,null_med,null_p95,null_sd,draws_used,excess,z,p_left,verdict,stable_below
CAGRnorm,BAR,9,36,20,3.3492043488314365,0.4444444444444444,,,,0.3333333333333333,0.5555555555555556,0.7777777777777778,0.11898620108812079,400.0,-0.11111111111111116,-0.9338150986837762,0.275,INSIDE,
CAGRnorm,SUB,12,36,20,1.96,0.7,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.10432286067425134,375.0,-0.13333333333333341,-1.2780835616621693,0.21333333333333335,INSIDE,0.024
CAGRnorm,BAR,12,36,20,2.8569322673777218,0.5833333333333334,,,,0.5,0.6666666666666666,0.8333333333333334,0.10512558627132068,400.0,-0.08333333333333326,-0.7927026739071554,0.3,INSIDE,
CAGRnorm,SUB,15,36,20,1.96,0.7,0.6,0.6666666666666666,0.8,0.6,0.8,0.9333333333333333,0.0991096137391056,186.0,-0.10000000000000009,-1.008983853607162,0.1774193548387097,INSIDE,0.0
CAGRnorm,BAR,15,36,20,2.7996915061391134,0.6666666666666666,,,,0.6,0.7333333333333333,0.8666666666666667,0.09341053354829841,400.0,-0.06666666666666665,-0.7136953846023832,0.2825,INSIDE,
CAGRnorm,SUB,19,36,20,1.96,0.7,0.6842105263157895,0.6842105263157895,0.7368421052631579,0.7263157894736841,0.8421052631578947,0.9473684210526315,0.08047556258356758,19.0,-0.14210526315789473,-1.765818822457184,0.05263157894736842,BELOW,0.6935
CAGRnorm,BAR,19,36,20,2.0889944115225862,0.7368421052631579,,,,0.6842105263157895,0.7894736842105263,0.9473684210526315,0.07931318753808551,400.0,-0.052631578947368474,-0.6635917756059828,0.2825,INSIDE,
CAGRnorm,SUB,24,36,20,,,,,,,,,,,,,,NA (m > native claims),
CAGRnorm,BAR,24,36,20,1.5869788664473519,0.7916666666666666,,,,0.75,0.875,0.9583333333333334,0.06571950866709554,400.0,-0.08333333333333337,-1.2680151605432912,0.26,INSIDE,
CAGRnorm,SUB,28,36,20,,,,,,,,,,,,,,NA (m > native claims),
CAGRnorm,BAR,28,36,20,1.1293648431681504,0.8214285714285714,,,,0.7857142857142857,0.8928571428571429,0.9642857142857143,0.06003818672141857,400.0,-0.07142857142857151,-1.1897189993429536,0.2325,INSIDE,
