uni,q,draw,nkeep,book,arm,dCAGR_full,dMaxDD_full,rate_full,dCAGR_IS,dMaxDD_IS,rate_IS,dCAGR_OOS,dMaxDD_OOS,rate_OOS
universe.json(56),0.05,17,53,TOP10,v1gate-dg,4.31876383987817,10.230863671655055,0.42213091469916153,4.561057776272337,1.2701848153221729,3.5908615197194425,4.114750518313026,10.343014341215728,0.39782894836722954
universe.json(56),0.05,17,53,TOP10,v1gate-rw,3.6837090135336314,6.6290417540242785,0.5556925344899766,4.503257630295465,1.1624216989867708,3.874030942661124,2.9911514473083045,6.629041754024334,0.4512192799950985
universe.json(56),0.05,17,53,TOP10,stop15,1.4060535558873433,-1.9411980582521138,,0.7923252144722559,0.9895472382753456,0.8006946852311745,1.9183213202403682,-1.941198058252036,
universe.json(56),0.05,17,53,TOP10,stop25,0.27190523329063687,-1.9613631876594595,,0.14996523104424675,0.4847242109533578,0.3093825883986575,0.37406849635819306,-1.9613631876593707,
universe.json(56),0.05,17,53,TOP10,ddctl-8/.5/recover,6.3800726386387785,6.044154256408907,1.0555774005724095,5.917365302819699,1.8862427281508776,3.1371176225133093,6.766629288427861,6.044154256408918,1.1195328579267922
universe.json(56),0.05,17,53,TOP10,ddctl-8/.5/high,7.232851742406443,10.84692158448377,0.6668114714457642,7.0893420519108075,1.8862427281508887,3.7584463261844316,7.352739658811713,11.407015752629368,0.6445804773362283
universe.json(56),0.05,17,53,TOP10,ebud-0.10,2.3530600902816,1.8919375677075245,1.243730306139447,1.508966347756191,0.6250238702191102,2.4142539503766525,3.056360154995752,1.8919375677076022,1.6154656512788854
universe.json(56),0.05,17,53,TOP10,ebud-0.20,0.30335616061401005,0.596959256576568,0.5081689533615609,0.3185963090604593,0.14185042151825256,2.246001849345679,0.2905536844192369,0.5969592565765791,0.48672280598427087
universe.json(56),0.05,17,53,TOP20,g200-dg,1.514118705906431,2.46637803021188,0.6139037436107705,1.8966620315296279,0.8126464704091618,2.3339325285873347,1.1895646844225949,2.466378030211913,0.4823123908220941
universe.json(56),0.05,17,53,TOP20,g200-rw,1.3848223754626687,2.563518766024653,0.5402037206890301,1.6796327103532072,0.6038441473471656,2.7815665974941424,1.134859145497047,2.563518766024653,0.4426958602908598
universe.json(56),0.05,17,53,TOP20,band3-dg,1.240745736167459,2.4710871892571373,0.5021052035563561,1.7024268527830788,0.6077581955659106,2.8011581994346844,0.8489015140454859,2.4710871892571484,0.34353361457095344
universe.json(56),0.05,17,53,TOP20,band3-rw,1.198632019469037,2.4480474895851367,0.4896277643993604,1.6378960243223384,-0.005559424349932396,,0.8258830716640464,2.4480474895851145,0.3373639911715985
universe.json(56),0.05,17,53,TOP20,abs12-dg,1.8596280165398271,0.029612268694512167,,2.4960266373515116,0.041958298526945104,,1.3186236912868576,0.02961226869452327,
universe.json(56),0.05,17,53,TOP20,abs12-rw,1.4068062204504406,-0.376278773302674,,1.7745341647403379,-0.45450931974374553,,1.0948736192004649,-0.3762787733026851,
universe.json(56),0.05,17,53,TOP20,vol60-dg,2.7248486928125315,5.775340238111548,0.47180747461962813,2.486625000693632,0.4377617436115977,5.680315918377462,2.9255165460044807,5.775340238111548,0.5065531077630644
universe.json(56),0.05,17,53,TOP20,vol60-rw,2.186280088473591,4.087963220127467,0.5348091386217072,2.465608050273449,-1.3132496562736073,,1.9493143036572569,4.087963220127467,0.4768424270697023
universe.json(56),0.05,17,53,TOP20,v1gate-dg,3.8392039968728087,5.77047748423235,0.6653182526685728,4.10146893416965,0.43033973630653977,9.530769734096992,3.616416986397608,5.7704774842323285,0.6267101806183922
universe.json(56),0.05,17,53,TOP20,v1gate-rw,3.243638580385677,3.693939794203871,0.878097305612626,3.82833950037047,-0.1386665970050882,,2.746409645947301,3.69393979420386,0.743490635731713
universe.json(56),0.05,17,53,TOP20,stop15,1.0524725425696158,-0.5619813207067281,,0.48442873928931096,-0.26349054370323755,,1.5302579866559363,-0.5619813207067281,
universe.json(56),0.05,17,53,TOP20,stop25,0.1977143220148303,-1.348777342031271,,0.06599686633421697,-0.07742018097112169,,0.30887887074848575,-1.3487773420313154,
universe.json(56),0.05,17,53,TOP20,ddctl-8/.5/recover,3.6814400341081077,5.694259577470251,0.6465177753177939,3.2874755523470522,1.954117608880157,1.6823324949366791,4.013038469575658,5.694259577470295,0.7047515862208852
universe.json(56),0.05,17,53,TOP20,ddctl-8/.5/high,5.264388626043814,5.694259577470229,0.9245080162612833,5.606326775129711,1.9541176088802348,2.8689812474195433,4.973584009133725,5.6942595774702065,0.8734382304614471
universe.json(56),0.05,17,53,TOP20,ebud-0.10,0.41011205613394885,0.981073130084209,0.418023940884761,0.5152005867611553,0.09954330922721244,,0.3211763318472505,0.9810731300842312,0.32737246796237857
universe.json(56),0.05,17,53,TOP20,ebud-0.20,0.02261544381421121,-0.010912390832007457,,0.026232819737415092,-1.6653345369377348e-13,,0.01955573036127589,-0.01091239083201856,
universe.json(56),0.05,17,53,TOP40,g200-dg,3.496357933508598,6.598911046674472,0.529838621672373,4.712559809400618,2.0837724886921705,2.2615519856288833,2.4737582341632036,6.598911046674461,0.37487370517137986
universe.json(56),0.05,17,53,TOP40,g200-rw,3.426810360154109,6.598911046674472,0.5192993716563362,4.615283631728118,1.6801809938391643,2.7468967025881716,2.4277693522614996,6.598911046674461,0.36790454289954105
universe.json(56),0.05,17,53,TOP40,band3-dg,3.0143370001466385,6.267714169864802,0.48093083354687494,4.176362068928885,3.23144863110314,1.2924117155169426,2.037817139469511,6.267714169864802,0.32512923918377534
