isolate,panel,n,gross,conv,dSharpe_0,dSharpe_10,dSharpe_25,dCAGR_10,dCAGR_0,dTO,cost_share,maj_cost,flip
BLEND at scaler,B136,5,0.75,LIT,-0.17077351734191237,-0.34635235397597897,-0.6096224696372103,-0.11866956708760834,-0.10977038192353561,10.257895830740871,0.5069370385923341,True,False
BLEND at scaler,B136,5,0.75,NORM,-0.17148753040130071,-0.3471863137289083,-0.6106329117630802,-0.1186472515435617,-0.10975234410264223,10.258800074367116,0.5060648314172821,True,False
BLEND at scaler,B136,5,1.0,LIT,-0.1736397315672661,-0.34930224611921823,-0.6127034423837274,-0.15826852680350267,-0.14700843176574407,13.698831139269203,0.5028954623211837,True,False
BLEND at scaler,B136,5,1.0,NORM,-0.17435393679094124,-0.35013952671451143,-0.6137218905699795,-0.1582290759930134,-0.14697616116364776,13.700628390556009,0.5020444037639261,True,False
BLEND at scaler,B136,10,0.75,LIT,-0.24088638630604797,-0.3686749269898746,-0.5607147415807605,-0.10275783860285781,-0.09697941147917621,6.905820925514828,0.34661576182352166,False,False
BLEND at scaler,B136,10,0.75,NORM,-0.2425464740935268,-0.3702585483519444,-0.5621287339170334,-0.10264609158831117,-0.09687508578159676,6.912432301361399,0.34492674058945033,False,False
BLEND at scaler,B136,10,1.0,LIT,-0.24323135764750836,-0.37105204753739207,-0.5631442852904964,-0.13832949665431138,-0.13115763687703197,9.220305757887466,0.34448183412059685,False,False
BLEND at scaler,B136,10,1.0,NORM,-0.24488930613979432,-0.37261905127481754,-0.5645208866059568,-0.13815718984802006,-0.1310019713193269,9.228509821326096,0.34278908901203436,False,False
BLEND at scaler,SMALL439,5,0.75,LIT,0.2999725381336219,0.18361452771573344,0.008815957161816712,0.005917785499818251,0.012885198489432037,6.134883606431153,0.6337080832625099,True,False
BLEND at scaler,SMALL439,5,0.75,NORM,0.3024876687372777,0.1858602345928999,0.010657140326938874,0.005924600869209984,0.012897178253410857,6.133078463334037,0.6275007367758543,True,False
BLEND at scaler,SMALL439,5,1.0,LIT,0.29837949437008715,0.18215184742240048,0.007549540107334968,0.017730805927469895,0.02771517075486951,8.169362062655495,0.6380810768180732,True,False
BLEND at scaler,SMALL439,5,1.0,NORM,0.3008898760902413,0.18439915929197026,0.009401787782084392,0.01775401644510466,0.027749486908210663,8.165943148070845,0.6317312792832439,True,False
BLEND at scaler,SMALL439,10,0.75,LIT,0.02500320717534299,-0.07922255518605237,-0.23588977269560463,-0.04221529917135425,-0.03735655262306259,5.408128043692866,1.315607179251206,True,True
BLEND at scaler,SMALL439,10,0.75,NORM,0.021676118894466967,-0.08106462670937187,-0.23545687180177924,-0.04222199879519528,-0.03736901563017603,5.4082073364203715,1.2673930637117334,True,True
BLEND at scaler,SMALL439,10,1.0,LIT,0.022758822268984513,-0.0813650514173308,-0.23787730403335772,-0.05206593934254777,-0.045733834160029296,7.208160133850175,1.2797125039871464,True,True
BLEND at scaler,SMALL439,10,1.0,NORM,0.01929443342975823,-0.08322737073126057,-0.23729134604769167,-0.05207450047355744,-0.04575183315695308,7.20860972404968,1.2318279823119673,True,True
