panel,fold,chooser,base,ladder_set,L,ladder,rung,point_widest,runner_up,t,F,call,moved,OOS_Sharpe,OOS_CAGR,OOS_MaxDD
U56,2016,CH_RAW/ALL4/L504,CH_RAW,ALL4,504,H,252,H,N,-1.0093503652126212,3,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_POINT/ALL4/L504,CH_POINT,ALL4,504,H,252,H,N,-1.0093503652126212,3,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_RES/ALL4/L504,CH_RES,ALL4,504,CADENCE,W,H,N,-1.0093503652126212,3,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_ANCHOR/NG/L63,CH_ANCHOR,NG,63,CADENCE,W,H,N,-1.1610935583788868,27,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_RAW/NG/L63,CH_RAW,NG,63,H,252,H,N,-1.1610935583788868,27,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_POINT/NG/L63,CH_POINT,NG,63,H,252,H,N,-1.1610935583788868,27,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_RES/NG/L63,CH_RES,NG,63,CADENCE,W,H,N,-1.1610935583788868,27,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_ANCHOR/NG/L126,CH_ANCHOR,NG,126,CADENCE,W,H,N,-0.5133275632551083,13,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_RAW/NG/L126,CH_RAW,NG,126,H,252,H,N,-0.5133275632551083,13,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_POINT/NG/L126,CH_POINT,NG,126,H,252,H,N,-0.5133275632551083,13,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_RES/NG/L126,CH_RES,NG,126,CADENCE,W,H,N,-0.5133275632551083,13,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_ANCHOR/NG/L252,CH_ANCHOR,NG,252,CADENCE,W,H,N,0.8048755880615345,6,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_RAW/NG/L252,CH_RAW,NG,252,H,252,H,N,0.8048755880615345,6,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_POINT/NG/L252,CH_POINT,NG,252,H,252,H,N,0.8048755880615345,6,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_RES/NG/L252,CH_RES,NG,252,CADENCE,W,H,N,0.8048755880615345,6,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_ANCHOR/NG/L504,CH_ANCHOR,NG,504,CADENCE,W,H,N,-1.0093503652126212,3,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_RAW/NG/L504,CH_RAW,NG,504,H,252,H,N,-1.0093503652126212,3,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_POINT/NG/L504,CH_POINT,NG,504,H,252,H,N,-1.0093503652126212,3,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_RES/NG/L504,CH_RES,NG,504,CADENCE,W,H,N,-1.0093503652126212,3,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2017,CH_ANCHOR/ALL4/L63,CH_ANCHOR,ALL4,63,CADENCE,W,N,CADENCE,1.4562406160928874,31,TIE,False,2.2713478597701844,0.21556506810766884,-0.030435563333668814
U56,2017,CH_RAW/ALL4/L63,CH_RAW,ALL4,63,N,40,N,CADENCE,1.4562406160928874,31,TIE,True,2.866133498785207,0.1917812388039437,-0.01870225200964093
U56,2017,CH_POINT/ALL4/L63,CH_POINT,ALL4,63,N,40,N,CADENCE,1.4562406160928874,31,TIE,True,2.866133498785207,0.1917812388039437,-0.01870225200964093
U56,2017,CH_RES/ALL4/L63,CH_RES,ALL4,63,CADENCE,W,N,CADENCE,1.4562406160928874,31,TIE,False,2.2713478597701844,0.21556506810766884,-0.030435563333668814
U56,2017,CH_ANCHOR/ALL4/L126,CH_ANCHOR,ALL4,126,CADENCE,W,N,CADENCE,0.30714994712544025,15,TIE,False,2.2713478597701844,0.21556506810766884,-0.030435563333668814
U56,2017,CH_RAW/ALL4/L126,CH_RAW,ALL4,126,N,40,N,CADENCE,0.30714994712544025,15,TIE,True,2.866133498785207,0.1917812388039437,-0.01870225200964093
U56,2017,CH_POINT/ALL4/L126,CH_POINT,ALL4,126,N,40,N,CADENCE,0.30714994712544025,15,TIE,True,2.866133498785207,0.1917812388039437,-0.01870225200964093
U56,2017,CH_RES/ALL4/L126,CH_RES,ALL4,126,CADENCE,W,N,CADENCE,0.30714994712544025,15,TIE,False,2.2713478597701844,0.21556506810766884,-0.030435563333668814
U56,2017,CH_ANCHOR/ALL4/L252,CH_ANCHOR,ALL4,252,CADENCE,W,N,CADENCE,-0.7130847985240787,7,TIE,False,2.2713478597701844,0.21556506810766884,-0.030435563333668814
U56,2017,CH_RAW/ALL4/L252,CH_RAW,ALL4,252,N,40,N,CADENCE,-0.7130847985240787,7,TIE,True,2.866133498785207,0.1917812388039437,-0.01870225200964093
