panel,arm,cost,window,n_rungs,smin,smax,spread
SMALL,CAND20_NG,10.0,FULL,150,0.746181103298317,0.7498661216486695,0.003685018350352509
SMALL,CAND20_NG,25.0,ISH1_HALF,150,1.3395127375358247,1.341050954359512,0.0015382168236872662
SMALL,CAND20_NG,25.0,IS,150,0.6417861537007065,0.6539769402429193,0.01219078654221284
SMALL,CAND20_NG,25.0,FULL,150,0.6184928466368027,0.6233173687062489,0.004824522069446169
SMALL,EWALL,0.0,ISH1_HALF,150,1.152156288931842,1.1644075764060031,0.012251287474161154
SMALL,EWALL,0.0,IS,150,0.9838067122144297,0.9866977051094595,0.002890992895029809
SMALL,EWALL,0.0,FULL,150,0.718411786484495,0.7241481479627423,0.005736361478247298
SMALL,EWALL,10.0,ISH1_HALF,150,1.1406685114917465,1.1535499350321028,0.012881423540356263
SMALL,EWALL,10.0,IS,150,0.9713721606371712,0.974855018266885,0.003482857629713787
SMALL,EWALL,10.0,FULL,150,0.7079406733332605,0.7129214599100371,0.004980786576776586
SMALL,EWALL,25.0,ISH1_HALF,150,1.1234365949335992,1.137263395542554,0.013826800608954803
SMALL,EWALL,25.0,IS,150,0.9527196168475449,0.9573139546903842,0.004594337842839247
SMALL,EWALL,25.0,FULL,150,0.6922332026787619,0.6967283583948304,0.004495155716068511
