panel,book,cost,stop,arm,fires,fires_yr,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,dCAGR,dSharpe,dMaxDD,gross,turn_yr,lever_pp,d_crash_ann,d_trend_ann,y2020,y2022,fail4a,fail4b
u56,top20,25,0.15,breadth20,91,5.166028384771345,0.107078620222536,0.9547597764285319,-0.15783069441932185,0.9522782217322872,0.9607531467737023,0.8559447478406811,1.030593547496475,0.12151101441492873,-0.15783069441932196,-0.3367737390028269,-0.012069960675320734,2.6576427588050455,0.7155694551092833,9.780609335596631,0.6319133980652992,-1.075062983093746,-0.1726652109720598,0.026209956647837984,-0.9585319067551445,DD,H1
u56,top20,25,0.20,always,101,5.733723811669296,0.10788589074618482,0.9588732906845764,-0.17116379983119867,0.9536477401104803,0.9679363242353789,0.8565250380034924,1.0369582919901077,0.12325553201836414,-0.17116379983119867,-0.25604668663794516,-0.007956446419276286,1.3243322176173633,0.715362648537126,9.816599200129573,0.6347904663756194,-1.1610442982372375,-0.06265901859976568,-1.8888787065425516,-0.4797185625238676,DD,H1
u56,top20,25,0.20,spy200,57,3.2358639333183152,0.10806244502305629,0.9573151756094227,-0.17116379983119867,0.9474652167145906,0.9703443780146351,0.8506947505836333,1.038595504474236,0.12386455802203233,-0.17116379983119867,-0.2383912589507986,-0.009514561494429974,1.3243322176173633,0.7159713752745759,9.720095728136632,0.6347904663756194,-1.1829023018902642,-0.03347211505565423,-1.6443062657650387,-0.4797185625238676,DD,H1
u56,top20,25,0.20,breadth20,36,2.04370353683262,0.10875903296785316,0.9623436713351985,-0.17022907624912986,0.9516059588470387,0.9760305454995966,0.8554376816079217,1.0439455205478168,0.12452162159652214,-0.17022907624912997,-0.1687324644711108,-0.004486065768654179,1.4178045758242441,0.7163097677821235,9.678279753333493,0.6345883739280299,-0.8425795480094769,-0.02677572034249432,-1.518191000395852,-0.4797185625238676,DD,H1
u56,top20,25,0.25,always,35,1.986933994142825,0.10894070027495006,0.9580543497740728,-0.18532587424923352,0.9555696637509041,0.9651436211217005,0.859473059950762,1.0331893421350304,0.12434359973166997,-0.1853258742492334,-0.1505657337614208,-0.008775387329779893,-0.09187522418612204,0.716539540985858,9.650250449946778,,-0.7480013200057773,-0.015427555750233125,-2.472184021424595,-0.3014854581851356,DD,H1
u56,top20,25,0.25,spy200,21,1.192160396485695,0.10908603153771179,0.9588053696716218,-0.18532587424923352,0.9556048563543795,0.9665574057478695,0.8599557482276696,1.0341212755298343,0.12456083965635933,-0.1853258742492333,-0.13603260748524804,-0.008024367432230894,-0.09187522418612204,0.7166567901666331,9.638639985109002,,-0.7480013200057773,0.0011108864384561606,-2.472184021424595,-0.3014854581851356,DD,H1
u56,top20,25,0.25,breadth20,16,0.9083126830367201,0.1089775326361091,0.9579749331762466,-0.18440712200737264,0.9525692759564129,0.9676154104226997,0.8566530159144295,1.0351111701516578,0.12469218509706748,-0.18440712200737241,-0.14688249764551742,-0.00885480392760607,-3.3306690738754696e-14,0.7166850450651243,9.638576161515369,,-0.8001839651663847,0.0,-2.347002398747655,-0.3014854581851356,DD,H1
u56,ew-band3,10,none,none,0,0.0,0.11257738955016827,1.1348420086349607,-0.15137851362118515,1.1127092704717285,1.1578890093061294,1.0118604744912758,1.2317604010603875,0.1260828118473365,-0.15137851362118504,0.0,0.0,0.0,0.7502215815329506,4.8491012589916584,,0.0,0.0,0.0,0.0,DD,
u56,ew-band3,10,0.10,always,1503,85.3246226627619,0.10052379744885687,1.082106150855272,-0.14159667874281878,1.0588825515153368,1.1049482019439265,0.9466949787857833,1.191775188773757,0.11266662172964947,-0.14159667874281956,-1.2053592101311406,-0.05273585777968859,0.9781834878366369,0.7352935338132902,7.203085531819458,0.7883868993656006,-1.9462353129388736,-0.9805029045346938,-1.4218979076245697,-1.1221877473225006,DD,CAGR
u56,ew-band3,10,0.10,spy200,528,29.974318540211762,0.10675853909735111,1.1232648275924875,-0.14847790380315484,1.0983062324504331,1.1478538142625583,0.9930118751022761,1.2284045343816794,0.11895243186882687,-0.14847790380315418,-0.5818850452817159,-0.011577181042473184,0.29006098180303086,0.7430801951923917,5.765425222122808,0.7906726351048106,-1.9499680610048946,-0.2781867592515037,-0.6910642910533671,-2.3610950137389675,DD,
