panel,theta,cad,family,con,CAGR,Sharpe,MaxDD,H1,H2,isCAGR,isSharpe,isMaxDD,oCAGR,oSharpe,oMaxDD,p4a,f4b,pass4b
U56,0.3,M,QUANTILE-F,RESPREAD,0.3627212088581464,1.2172832583917148,-0.38983182398448213,1.2875238398490658,1.166000319297625,0.37686337727126173,1.3458272962208382,-0.35307096656020076,0.35117407974981574,1.1326405414908853,-0.38983182398448224,False,DD,False
U56,0.3,M,QUANTILE-F,DEGROSS,0.01494364582594665,1.1981030867155216,-0.020217863788159596,1.270869554764237,1.1438279670500586,0.015285207831792658,1.337324409260973,-0.01761706942679997,0.014662206569716174,1.1049368971608236,-0.020217863788159263,False,CAGR,False
U56,0.3,Q,MA-THRESH,RESPREAD,0.27008246908185707,0.9389501787380636,-0.4512644245549712,1.288407017334032,0.622825351042136,0.38506188867594116,1.2715789943146434,-0.3318079360549566,0.18252454854515432,0.6897338844203873,-0.4512644245549705,False,H2|OOS|DD,False
U56,0.3,Q,MA-THRESH,DEGROSS,0.0123254870261158,0.7780969382722495,-0.03380058509596906,1.227088284616553,0.534611290853001,0.014642313203395041,1.240224086950208,-0.015754559353549857,0.010419867115684323,0.5655439867477883,-0.03380058509596817,False,H2|OOS|CAGR,False
U56,0.3,Q,QUANTILE-M,RESPREAD,0.3088876851412947,1.1430996823689186,-0.3960767921010777,1.459415662884309,0.9072400903814625,0.377676016010684,1.4870667001467428,-0.3960767921010777,0.2547800917729859,0.926116162935607,-0.39111695478436304,False,DD,False
U56,0.3,Q,QUANTILE-M,DEGROSS,0.017611889870395414,1.1150594742114643,-0.027500612693462823,1.453077251474138,0.8502031761053005,0.021194973864621103,1.489842659305042,-0.027231375353278242,0.014668058124370331,0.8654830380578492,-0.0275006126934636,False,OOS|CAGR,False
U56,0.3,Q,QUANTILE-F,RESPREAD,0.3398121363831972,1.1423098218475252,-0.4375977372433971,1.4406239269504,0.8973226342262706,0.4255205513635192,1.4623537887059523,-0.4375977372433971,0.27305669172701275,0.9252223352897521,-0.4234687783772272,False,DD,False
U56,0.3,Q,QUANTILE-F,DEGROSS,0.014660857846316322,1.0990943679135907,-0.02502544143438179,1.440175016761093,0.826616766382305,0.017707952659348658,1.474259733045563,-0.022334722744072777,0.012156210933723655,0.848982980175751,-0.02502544143438179,False,OOS|CAGR,False
U56,0.2,W,MA-THRESH,RESPREAD,0.19442958755767958,0.887145336247679,-0.4853310937988963,1.0831290936663607,0.7134194485126824,0.23769082194259306,1.0736355356525074,-0.3540956957886834,0.15991153247482637,0.7445141761346031,-0.4853310937988963,False,H2|OOS|DD,False
U56,0.2,W,MA-THRESH,DEGROSS,0.018160073739676763,0.7768561225759709,-0.03443462841556433,0.7540868375751976,0.8064052292322159,0.015885501672996627,0.7739892723316821,-0.026732576289266397,0.020038672437038052,0.7859942586484135,-0.03443462841556433,False,H1|H2|OOS|CAGR,False
U56,0.2,W,QUANTILE-M,RESPREAD,0.21841364659752394,1.144561242735042,-0.25019673847096824,1.2527575260015074,1.0732238265278224,0.21032793979549802,1.2316146089449191,-0.1417224068463423,0.2251187224911655,1.0958719422863337,-0.25019673847096835,False,DD,False
U56,0.2,W,QUANTILE-M,DEGROSS,0.024215963142021346,1.1401975548286116,-0.030291463010967856,1.2362150053265615,1.0679442112945268,0.02373135656961667,1.2166722523150268,-0.016832174304634462,0.02461556286333977,1.09078324975542,-0.030291463010967745,False,CAGR,False
U56,0.2,W,QUANTILE-F,RESPREAD,0.22804637881582912,1.1494774475009546,-0.261449628320497,1.2706746232129298,1.0639297802879621,0.2262662628772134,1.2547503636413144,-0.15297037610247866,0.22951554629234794,1.0856502587782815,-0.2614496283204968,False,DD,False
U56,0.2,W,QUANTILE-F,DEGROSS,0.02291288558131943,1.1432029035671962,-0.029306551355081756,1.2655290389200986,1.0567906667804916,0.022445139094109168,1.2513014346047973,-0.016107316065831045,0.023298577126035447,1.0775729378991903,-0.029306551355082533,False,CAGR,False
U56,0.2,M,MA-THRESH,RESPREAD,0.28738762609667945,1.1665974030056894,-0.3221203371565229,1.3646359212997705,0.9636593653291728,0.3656865506352849,1.3672705492763482,-0.3183998364601498,0.22623771956334382,0.990474219080329,-0.322120337156523,False,DD,False
U56,0.2,M,MA-THRESH,DEGROSS,0.02280372894293503,0.9542125962643083,-0.03030565135925989,1.121656137076425,0.8423558369337987,0.023243569217436644,1.1098090330153594,-0.02162768023359496,0.022441341543690152,0.8611872555293202,-0.030305651359259778,False,OOS|CAGR,False
U56,0.2,M,QUANTILE-M,RESPREAD,0.24882881155449055,1.2472555247487698,-0.2643472172900051,1.3980374694240911,1.1429660608198218,0.24415228285535684,1.3657802953919842,-0.17296963769767537,0.2526965589379242,1.1784357036468776,-0.2643472172900049,False,DD,False
