panel,family,depth,bps,arm,thr,n_pool,empty,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,sd_across_draws,d_vs_S0,d_vs_SPY
U56,BUDGET,half,25,S3_EXACT_Q95,0.3,1.0,False,1.0444833451487507,0.12816694363618986,-0.18282132057413825,0.0,-0.01727431126347767,0.16247236055906755
U56,BUDGET,half,25,ORACLE_OOS,0.05,5.0,False,1.1302916378294015,0.1411602147254718,-0.1825033809272213,0.0,0.06853398141717304,0.24828065323971826
U56,SLEEVE,0.5,10,S0_do_nothing,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,SLEEVE,0.5,10,S1_IS_argmax,400.0,5.0,False,1.2087531011470387,0.14664281532361967,-0.18207055067800648,0.0,0.03126169130919432,0.3267421165573555
U56,SLEEVE,0.5,10,S2_MAX_K20,,0.0025,False,1.1773326435814087,,,0.003175325128717854,-0.00015876625643573838,0.29532165899172547
U56,SLEEVE,0.5,10,S2_MAX_K50,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,0.5,10,S2_MAX_K100,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,0.5,10,S2_MAX_K200,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,0.5,10,S2_MAX_K400,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,0.5,10,S3_EXACT_MAX,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,SLEEVE,0.5,10,S2_Q95_K20,,0.0325,False,1.175427448504178,,,0.011275320905268857,-0.0020639613336663754,0.29341646391449483
U56,SLEEVE,0.5,10,S2_Q95_K50,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,0.5,10,S2_Q95_K100,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,0.5,10,S2_Q95_K200,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,0.5,10,S2_Q95_K400,,0.0,True,1.1774914098378446,,,2.223226821848096e-16,2.220446049250313e-16,0.2954804252481614
U56,SLEEVE,0.5,10,S3_EXACT_Q95,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,SLEEVE,0.5,10,ORACLE_OOS,200.0,5.0,False,1.2332910565931994,0.14375457293094462,-0.1406543837025087,0.0,0.05579964675535498,0.3512800720035162
U56,SLEEVE,0.5,25,S0_do_nothing,,0.0,True,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,SLEEVE,0.5,25,S1_IS_argmax,400.0,5.0,False,1.088510553569061,0.13035143940974203,-0.18334964014435584,0.0,0.02675289715683249,0.2064995689793777
U56,SLEEVE,0.5,25,S2_MAX_K20,,0.02,False,1.0592626928968172,,,0.017486616557095526,-0.0024949635154112304,0.177251708307134
U56,SLEEVE,0.5,25,S2_MAX_K50,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,0.5,25,S2_MAX_K100,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,0.5,25,S2_MAX_K200,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
U56,SLEEVE,0.5,25,S2_MAX_K400,,0.0,True,1.0617576564122282,,,2.223226821848096e-16,-2.220446049250313e-16,0.179746671822545
