panel,kind,etf_share,width,seed,theta,cad,family,window,ident_max_err,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,CAGR_rs0,CAGR_dg0
U56,anchor,0.6363636363636364,55,-1,-0.06,M,MA-THRESH,IS,2.6020852139652106e-17,0.8477498311240951,0.16397699970580842,-2.1697715063786704,-1.8291306510352268,-0.3406408553434437,0.11900123315064981,0.0973035180868631
U56,anchor,0.6363636363636364,55,-1,-0.06,M,MA-THRESH,OOS,2.6020852139652106e-17,0.8651408921905733,0.15787375677358284,-2.3114819248740925,-1.8117828780402245,-0.499699046833868,0.1330032222072448,0.10988840295850388
U56,anchor,0.6363636363636364,55,-1,-0.06,M,QUANTILE-F,FULL,3.469446951953614e-17,0.8583357463353231,0.002626973590762489,-1.9662803882653401,-1.9397129546948388,-0.026567433570501287,0.13561535608022002,0.11595255219756662
U56,anchor,0.6363636363636364,55,-1,-0.06,M,QUANTILE-F,IS,3.469446951953614e-17,0.8582715334791522,0.0025480834038651176,-1.9514195499526155,-1.9223353022376877,-0.02908424771492779,0.13411011996076927,0.11459592446124311
U56,anchor,0.6363636363636364,55,-1,-0.06,M,QUANTILE-F,OOS,3.469446951953614e-17,0.8583887160033601,0.0026896777699259534,-1.9785652904676043,-1.9540672696081618,-0.024498020859442526,0.1368585402915108,0.11707288738683475
U56,anchor,0.6363636363636364,55,-1,-0.06,Q,MA-THRESH,FULL,3.469446951953614e-17,0.8361820349444976,0.19731790787307055,-2.4834904946930303,-2.032525740431357,-0.4509647542616735,0.12323862654984574,0.09840372160291544
U56,anchor,0.6363636363636364,55,-1,-0.06,Q,MA-THRESH,IS,3.469446951953614e-17,0.8250845323180365,0.19571924738660312,-2.488526899864385,-2.1387617620295174,-0.3497651378348676,0.12088708155172045,0.0960018125530766
U56,anchor,0.6363636363636364,55,-1,-0.06,Q,MA-THRESH,OOS,3.469446951953614e-17,0.8453364483318002,0.19819981501932546,-2.4793110588919642,-1.9417613588362803,-0.5375497000556839,0.12518214655870374,0.1003890359697841
U56,anchor,0.6363636363636364,55,-1,-0.06,Q,QUANTILE-F,FULL,2.7755575615628914e-17,0.8599190457521693,0.004391214757274452,-1.904426099495593,-1.875418126596351,-0.029007972899242063,0.13310988982383942,0.11406562882888349
U56,anchor,0.6363636363636364,55,-1,-0.06,Q,QUANTILE-F,IS,2.7755575615628914e-17,0.8595946960798252,0.004183690995014582,-1.9478773006436079,-1.911551573829673,-0.03632572681393498,0.13472109849064062,0.11524232548420454
U56,anchor,0.6363636363636364,55,-1,-0.06,Q,QUANTILE-F,OOS,2.7755575615628914e-17,0.8601866042365076,0.00453872809768294,-1.8686616350760632,-1.845775378825798,-0.02288625625026519,0.13178251380834038,0.11309589745757975
U56,anchor,0.6363636363636364,55,-1,-0.12,W,MA-THRESH,FULL,4.85722573273506e-17,0.9211940392733365,0.1142901374364669,-1.4757762753943249,-0.9904593825021291,-0.4853168928921958,0.12464167845692087,0.10988391570297762
U56,anchor,0.6363636363636364,55,-1,-0.12,W,MA-THRESH,IS,4.85722573273506e-17,0.9134667440743492,0.12306084579469993,-1.6366567317927183,-1.0803919310484744,-0.5562648007442439,0.12344728545683314,0.10708071813890596
U56,anchor,0.6363636363636364,55,-1,-0.12,W,MA-THRESH,OOS,4.85722573273506e-17,0.9275683432044372,0.10611593491813326,-1.3426261781366078,-0.9152757540105139,-0.4273504241260939,0.12562789794710483,0.11220163616573875
U56,anchor,0.6363636363636364,55,-1,-0.12,W,QUANTILE-F,FULL,9.71445146547012e-17,0.9221278305686915,0.0007008851525015981,-1.0695263621572915,-1.0650451425371799,-0.0044812196201116095,0.13548286869803516,0.12478760507646225
U56,anchor,0.6363636363636364,55,-1,-0.12,W,QUANTILE-F,IS,9.71445146547012e-17,0.9221186919106962,0.0006767690553648498,-1.0568360467726468,-1.0520350175976745,-0.004801029174972271,0.13357921852443355,0.12301085805670708
U56,anchor,0.6363636363636364,55,-1,-0.12,W,QUANTILE-F,OOS,9.71445146547012e-17,0.922135369116409,0.0007202223645044235,-1.0800237342380559,-1.0758050361802995,-0.0042186980577563205,0.13705561004673483,0.12625537270435427
U56,anchor,0.6363636363636364,55,-1,-0.12,M,MA-THRESH,FULL,4.163336342344337e-17,0.9229080585476318,0.11601160066177692,-1.4536634277117821,-0.9935580341015493,-0.46010539361023284,0.12770830763002916,0.11317167335291134
U56,anchor,0.6363636363636364,55,-1,-0.12,M,MA-THRESH,IS,4.163336342344337e-17,0.9143251634775961,0.13157501325964804,-1.3882882879140634,-1.0709809005824633,-0.31730738733160013,0.12355797141211866,0.10967508853297803
U56,anchor,0.6363636363636364,55,-1,-0.12,M,MA-THRESH,OOS,4.163336342344337e-17,0.9299881532478217,0.10087096603516453,-1.5079164328590355,-0.9247864923072724,-0.5831299405517631,0.13114348821377875,0.11606432388518839
