panel,theta,cad,family,ident_max_err,window,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,share,CAGR_rs0,CAGR_dg0
U56,0.12,Q,MA-THRESH,8.673617379884035e-18,OOS,0.2315006294031337,0.13583667708067546,-12.713935064500536,-12.673353713934077,-0.04058135056645895,0.9968081203529371,0.16596302340866287,0.0388236727636575
U56,0.12,Q,QUANTILE-M,8.673617379884035e-18,FULL,0.24562439573037226,0.01079291534701075,-13.261698734696026,-13.181019320398146,-0.0806794142978795,0.9939163589890033,0.1745892225479,0.041972235200939734
U56,0.12,Q,QUANTILE-M,8.673617379884035e-18,IS,0.24758213524138512,0.010934498054700773,-12.79253801332423,-12.757950452440191,-0.03458756088403803,0.9972962706190114,0.16882961182445877,0.040904231691216486
U56,0.12,Q,QUANTILE-M,8.673617379884035e-18,OOS,0.2440094416824467,0.010403145219296688,-13.650766099261435,-13.533985351998412,-0.11678074726302334,0.9914451140387395,0.17936172507633663,0.042854064083722276
U56,0.12,Q,QUANTILE-F,5.204170427930421e-18,FULL,0.23620931945187573,0.00885278735131474,-13.54273076458481,-13.446419071881621,-0.09631169270318907,0.992888310756716,0.1759209622487803,0.040493654602932194
U56,0.12,Q,QUANTILE-F,5.204170427930421e-18,IS,0.2352660205507155,0.008109002655444775,-13.45821909754077,-13.397719587540212,-0.06049951000055742,0.9955046422143913,0.17437779485756044,0.03979560388215275
U56,0.12,Q,QUANTILE-F,5.204170427930421e-18,OOS,0.23698745381053934,0.009352543550760357,-13.612562419150919,-13.486233206138909,-0.12632921301200994,0.9907196595966177,0.17719545880040455,0.04106983460889535
U56,0.06,W,MA-THRESH,8.673617379884035e-18,FULL,0.4406713570281005,0.19328813225554478,-9.365265939998446,-8.599857948977618,-0.7654079910208278,0.9182716224051023,0.1529905364250106,0.05933787702502613
U56,0.06,W,MA-THRESH,8.673617379884035e-18,IS,0.4288475296580612,0.20469216952968888,-9.041233908528824,-8.071280841115392,-0.9699530674134316,0.8927189499545576,0.14073779640811668,0.05032545732282845
U56,0.06,W,MA-THRESH,8.673617379884035e-18,OOS,0.4504249211594891,0.18281558247223595,-9.636644383130012,-9.021864787387646,-0.6147795957423661,0.9362039760626008,0.1631969115577172,0.0668304677264171
U56,0.06,W,QUANTILE-M,8.673617379884035e-18,FULL,0.4506635672195584,0.006008537256287187,-8.512616276547513,-8.501646451420708,-0.010969825126805333,0.9987113450471123,0.15345385766842212,0.06832769490294699
U56,0.06,W,QUANTILE-M,8.673617379884035e-18,IS,0.44872283493578513,0.006556707886386626,-8.100385811754496,-8.083388142237013,-0.01699766951748316,0.9979016222297933,0.1452772415056074,0.06427338338806243
U56,0.06,W,QUANTILE-M,8.673617379884035e-18,OOS,0.45226449187781287,0.004976316325791421,-8.855898133282803,-8.847676937839921,-0.008221195442882134,0.9990716700532062,0.16024273082975427,0.07168374949692624
U56,0.06,W,QUANTILE-F,6.938893903907228e-18,FULL,0.44111203479218025,0.002574863025858996,-8.717827262178734,-8.704985750402528,-0.012841511776205294,0.9985269825393402,0.15445030947148175,0.0672720368496944
U56,0.06,W,QUANTILE-F,6.938893903907228e-18,IS,0.44103994721171175,0.0023822371782501427,-8.067568492912592,-8.058443666488134,-0.009124826424457666,0.9988689496181564,0.14298124167665205,0.062305556747526136
U56,0.06,W,QUANTILE-F,6.938893903907228e-18,OOS,0.44117150037952113,0.0027225772184455823,-9.261140642209774,-9.245089405629248,-0.016051236580526762,0.9982668186133175,0.16399780218846338,0.07138639576636563
U56,0.06,M,MA-THRESH,8.673617379884035e-18,FULL,0.4361008416030351,0.19082228862428674,-9.216123628033547,-8.844403138402622,-0.3717204896309241,0.9596662865393616,0.1560179826384065,0.06385674635807104
U56,0.06,M,MA-THRESH,8.673617379884035e-18,IS,0.4264292569589226,0.20250124149667903,-7.876378182558352,-7.684420188917596,-0.19195799364075672,0.9756286469248222,0.1337731391778767,0.055009357352293176
U56,0.06,M,MA-THRESH,8.673617379884035e-18,OOS,0.4440790045215447,0.18027278680007006,-10.34852147823897,-9.795435834905387,-0.5530856433335831,0.9465541387243945,0.17469605735296834,0.07121084257057864
U56,0.06,M,QUANTILE-M,6.938893903907228e-18,FULL,0.451921831807138,0.007983536339077644,-9.075942068654097,-9.008948248207105,-0.0669938204469922,0.9926185270972177,0.16265752755104845,0.07189810686450748
U56,0.06,M,QUANTILE-M,6.938893903907228e-18,IS,0.449725737769804,0.008043304876072802,-8.353614242774142,-8.27418370309012,-0.07943053968402225,0.9904914762190833,0.14898636800872112,0.06545022558097968
U56,0.06,M,QUANTILE-M,6.938893903907228e-18,OOS,0.4537334062966281,0.007463898047951006,-9.681094878980968,-9.620228731904067,-0.060866147076900745,0.9937128860074442,0.17405732195245416,0.07724637316264449
U56,0.06,M,QUANTILE-F,1.3877787807814457e-17,FULL,0.44247667386628337,0.005815344512005925,-9.193891606882843,-9.127110104424707,-0.06678150245813619,0.9927363182737393,0.16210052784030027,0.07016161177147184
U56,0.06,M,QUANTILE-F,1.3877787807814457e-17,IS,0.44219891157672064,0.005391558485034305,-8.367150104921507,-8.300798361338702,-0.06635174358280516,0.9920699709278817,0.1475552402362672,0.06388373918705215
U56,0.06,M,QUANTILE-F,1.3877787807814457e-17,OOS,0.44270580206815446,0.006134603642671011,-9.886956004035351,-9.819245475777194,-0.06771052825815715,0.99315152932505,0.17423771001825927,0.07536814997790575
U56,0.06,Q,MA-THRESH,2.0816681711721685e-17,FULL,0.4386154512696902,0.19703952077040449,-8.76551440878286,-8.133746957231235,-0.6317674515516245,0.927925798522605,0.14499765280714483,0.05734250871931623
U56,0.06,Q,MA-THRESH,2.0816681711721685e-17,IS,0.43573296506427134,0.20013175247193168,-8.177001008994589,-7.879256965178372,-0.2977440438162171,0.9635876229575241,0.13931912407685498,0.057549113986909095
U56,0.06,Q,MA-THRESH,2.0816681711721685e-17,OOS,0.44099323582138583,0.19446080771998722,-9.253110189909663,-8.34273014452358,-0.9103800453860824,0.9016136167513887,0.14970321076026583,0.05717210886116919
U56,0.06,Q,QUANTILE-M,8.673617379884035e-18,FULL,0.45531690311971273,0.011165854191937028,-8.607892414478101,-8.511946516796032,-0.09594589768206951,0.9888537294540656,0.15558185654920664,0.06950293240442562
U56,0.06,Q,QUANTILE-M,8.673617379884035e-18,IS,0.4520762147596391,0.010308890714552382,-8.33899401189193,-8.25858338460228,-0.0804106272896501,0.9903572748493428,0.14963797715232685,0.06624803703340754
