load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv

==================================================================================================================================================================================================================
UNIVERSE universe_broad.json (136, PRIMARY): 136 names, 2008-01-02 -> 2026-09-03 | eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01
INDEX SANITY: 251.6 rows/yr (must be ~252; the calendar-day bug of idea 38 gave ~365)  -> OK trading-day index
SPY   CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS 0.884
RULES v1 @10bps  CAGR 6.44%  Sharpe 0.640  MaxDD -21.19%  halves 0.762/0.537
4b bars: Sharpe > 0.957(H1) / 0.837(H2) / 0.884(OOS), MaxDD <= 20.23%, CAGR >= 10.68%
mean eligible names E_t = 91.5
==================================================================================================================================================================================================================

--- universe_broad.json (136, PRIMARY) | gross convention MATCHED | 10 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b          fails
20 +0.5000 10     -0.2693     -0.0842     -0.0234     +0.0057   -0.2458   -0.0899
30 +0.1000  3     -0.1357     -0.0275     -0.0399     +0.0049   -0.0958   -0.0324
30 +0.2000  6     -0.1264     -0.0352     -0.1100     +0.0040   -0.0164   -0.0392
30 +0.3000  9     -0.1752     -0.0488     +0.0034     +0.0174   -0.1786   -0.0662
30 +0.5000 15     -0.1546     -0.0686     -0.0025     +0.0105   -0.1521   -0.0790
HI beats CTRL on Sharpe in 0/12 cells (mean -0.1559); LO beats CTRL in 2/12 (mean -0.0526); HI beats LO in 0/12 (mean -0.1033).

--- universe.json (56) | WALK-FORWARD (rule 8): params chosen on IS <= 2016-12-31 inside arm HI, MATCHED gross, 10 bps; evaluated on OOS >= 2017-01-01 ---
 K     d  D  isSharpe  isCAGR  isMaxDD
20 0.000  0     1.049   0.115   -0.129
10 0.000  0     0.979   0.129   -0.149
30 0.000  0     0.968   0.098   -0.129
20 0.100  2     0.948   0.097   -0.133
20 0.200  4     0.874   0.084   -0.131
30 0.200  6     0.870   0.076   -0.124
30 0.100  3     0.867   0.081   -0.131
20 0.300  6     0.847   0.077   -0.133
10 0.100  1     0.835   0.104   -0.163
10 0.200  2     0.764   0.091   -0.157
10 0.300  3     0.757   0.088   -0.156
30 0.300  9     0.748   0.060   -0.127
20 0.500 10     0.725   0.059   -0.123
30 0.500 15     0.686   0.049   -0.125
10 0.500  5     0.649   0.070   -0.160
IS pick (argmax IS Sharpe; ties -> larger K then smaller d): K=20 d=0.0 D=0  | IS Sharpe spread over the 15-point grid = 0.400
                        CAGR  Sharpe  MaxDD
what                                       
idea21 HI K=20 d=0.0   0.129   1.016 -0.188
idea21 LO K=20 d=0.0   0.129   1.016 -0.188
idea21 CTRL K=20 d=0.0 0.129   1.016 -0.188
RULES v1 baseline      0.078   0.751 -0.138
SPY                    0.155   0.884 -0.337

--- universe.json (56) | ROBUSTNESS: ranker = v1 composite (no vol scaler) instead of raw 12-1 momentum, MATCHED gross, 10 bps ---
 K     d  D  arm  CAGR  Sharpe  MaxDD    H1    H2   p4a   p4b          fails
10 0.000  0   HI 0.131   0.933 -0.175 0.903 0.965 False False             H1
10 0.100  1   HI 0.123   0.914 -0.165 0.896 0.936 False False             H1
10 0.100  1   LO 0.135   0.912 -0.184 0.893 0.934 False False             H1
10 0.100  1 CTRL 0.138   0.946 -0.171 0.936 0.961 False False             H1
10 0.200  2   HI 0.104   0.817 -0.168 0.795 0.841 False False        H1,CAGR
10 0.200  2   LO 0.134   0.866 -0.197 0.886 0.856 False False         H1,OOS
10 0.200  2 CTRL 0.140   0.928 -0.183 0.898 0.959 False False             H1
10 0.300  3   HI 0.087   0.717 -0.182 0.746 0.698 False False H1,H2,OOS,CAGR
10 0.300  3   LO 0.147   0.899 -0.203 0.890 0.912 False False          H1,DD
10 0.300  3 CTRL 0.149   0.949 -0.187 0.891 1.004 False False             H1
10 0.500  5   HI 0.072   0.632 -0.155 0.582 0.678 False False H1,H2,OOS,CAGR
10 0.500  5   LO 0.154   0.839 -0.326 0.893 0.795 False False   H1,H2,OOS,DD
10 0.500  5 CTRL 0.162   0.923 -0.215 0.887 0.959 False False          H1,DD
20 0.000  0   HI 0.128   1.064 -0.183 1.068 1.068 False  True              -
20 0.100  2   HI 0.108   0.972 -0.179 0.983 0.969 False  True              -
20 0.100  2   LO 0.135   1.048 -0.188 1.062 1.043 False  True              -
20 0.100  2 CTRL 0.127   1.027 -0.192 1.056 1.010 False  True              -
20 0.200  4   HI 0.091   0.870 -0.196 0.934 0.820 False False     H1,H2,CAGR
20 0.200  4   LO 0.143   1.021 -0.228 1.042 1.012 False False             DD
20 0.200  4 CTRL 0.132   1.037 -0.191 1.062 1.023 False  True              -
20 0.300  6   HI 0.083   0.839 -0.169 0.908 0.785 False False     H1,H2,CAGR
20 0.300  6   LO 0.140   0.955 -0.243 1.002 0.919 False False             DD
20 0.300  6 CTRL 0.134   1.022 -0.190 1.030 1.021 False  True              -
20 0.500 10   HI 0.069   0.767 -0.166 0.841 0.708 False False H1,H2,OOS,CAGR
20 0.500 10   LO 0.170   1.075 -0.201 1.033 1.115 False  True              -
20 0.500 10 CTRL 0.131   0.933 -0.175 0.903 0.965 False False             H1
30 0.000  0   HI 0.115   1.054 -0.175 1.021 1.088 False  True              -
30 0.100  3   HI 0.092   0.930 -0.173 0.944 0.921 False False        H1,CAGR
30 0.100  3   LO 0.123   1.019 -0.187 0.979 1.059 False  True              -
30 0.100  3 CTRL 0.119   1.063 -0.175 1.030 1.096 False  True              -
30 0.200  6   HI 0.083   0.895 -0.166 0.953 0.847 False False        H1,CAGR
30 0.200  6   LO 0.123   0.929 -0.243 0.975 0.890 False False             DD
30 0.200  6 CTRL 0.121   1.053 -0.183 1.036 1.074 False  True              -
30 0.300  9   HI 0.075   0.867 -0.156 0.901 0.839 False False        H1,CAGR
30 0.300  9   LO 0.138   1.025 -0.205 0.981 1.068 False False             DD
30 0.300  9 CTRL 0.128   1.078 -0.183 1.082 1.081 False  True              -
30 0.500 15   HI 0.062   0.806 -0.145 0.750 0.859 False False        H1,CAGR
30 0.500 15   LO 0.153   1.075 -0.220 1.005 1.141 False False             DD
30 0.500 15 CTRL 0.134   1.037 -0.192 1.061 1.024 False  True              -

==================================================================================================================================================================================================================
SUMMARY — idea 21 momentum-plus-quality-proxy
==================================================================================================================================================================================================================
Total reported grid points: 312 (2 universes x 2 gross conventions x 2 costs x 3 K x arms)

universe_broad.json (136, PRIMARY)
  4b passes: 1/39 at MATCHED/10bps; 4a passes: 18/39
  HI-vs-CTRL mean dSharpe -0.1269 (1/12 positive); HI-vs-LO mean dSharpe -0.0957 (2/12 positive)
  rule-8 pick K=10 d=0.0; OOS table above

universe.json (56)
  4b passes: 11/39 at MATCHED/10bps; 4a passes: 1/39
  HI-vs-CTRL mean dSharpe -0.1559 (0/12 positive); HI-vs-LO mean dSharpe -0.1033 (0/12 positive)
  rule-8 pick K=20 d=0.0; OOS table above

Written: /home/user/Claude-Space/research/backtests/2026-09-04_momentum-plus-quality-proxy_cloud.grid.csv
