panel,shape,eps,draw,pick_flip,ref_pick,pick,is_Sharpe,oos_CAGR,oos_Sharpe,oos_MaxDD,base_oos_CAGR,base_oos_Sharpe,base_oos_MaxDD,spy_oos_CAGR,spy_oos_Sharpe,spy_oos_MaxDD
U56,IID,0.001,4,False,BAND08@g1.00,BAND08@g1.00,1.116903842619507,0.11986332892649165,1.1612205495590047,-0.19059730110176298,0.0940379574380601,1.2697527459012943,-0.12059691555408691,0.15230859634907068,0.8697203016725268,-0.3368135713685445
U56,IID,0.001,5,False,BAND08@g1.00,BAND08@g1.00,1.12615646033707,0.12028938356481822,1.167757088804727,-0.18840055116347176,0.09453142483628807,1.2762304257666273,-0.12048160326341673,0.15233958722965846,0.8695555081013318,-0.3370352731519469
U56,IID,0.001,6,False,BAND08@g1.00,BAND08@g1.00,1.1230682216463546,0.1203854801058637,1.1621729107598973,-0.19069630023128037,0.09446888279780086,1.2738407760270436,-0.12068824378955911,0.1522197929018958,0.8688767126232594,-0.33746748861800113
U56,IID,0.001,7,False,BAND08@g1.00,BAND08@g1.00,1.1223409820544634,0.1199566486737087,1.159957686736067,-0.19049819186319106,0.09377137231106314,1.2654999446629913,-0.12049904183267623,0.15234627535722645,0.8699783194022204,-0.3382507308664148
U56,IID,0.001,8,False,BAND08@g1.00,BAND08@g1.00,1.1247144127059725,0.12024362036384173,1.162926481164965,-0.19046068137604366,0.09412229965202057,1.2703704394614523,-0.12051417798434372,0.152352597912224,0.8696516891794008,-0.33759440511635885
U56,IID,0.001,9,False,BAND08@g1.00,BAND08@g1.00,1.1191099237496078,0.11981862748858374,1.1573474919404858,-0.19052771982089511,0.09452437108241152,1.2755590797706557,-0.12056901521036445,0.15255192539892204,0.8720573722872711,-0.33650503699655565
U56,IID,0.001,10,False,BAND08@g1.00,BAND08@g1.00,1.1182805380347605,0.11986293462013764,1.1594641061678066,-0.19046775931933724,0.09384405427653308,1.2670976421187354,-0.12055540243144347,0.15229708713234502,0.8704367510941449,-0.33624155778594744
U56,IID,0.001,11,False,BAND08@g1.00,BAND08@g1.00,1.124656291549086,0.12033587528842826,1.1647043767747334,-0.19041477290665476,0.09422870019096496,1.2710280601782413,-0.12048132950504364,0.15228939552812815,0.8697035511923198,-0.33670896616195944
U56,IID,0.001,12,False,BAND08@g1.00,BAND08@g1.00,1.1160421040306905,0.12057006201056053,1.1665667657697576,-0.19045390395100448,0.09377936460347636,1.2657993609402005,-0.12052290257542164,0.15247592214223782,0.8701951421457684,-0.33662536344904415
U56,IID,0.001,13,False,BAND08@g1.00,BAND08@g1.00,1.1143324058452049,0.11966136409873251,1.1573686354234312,-0.19045298846014735,0.0943909469996802,1.2727436790365974,-0.12052891408016597,0.1522758127069732,0.8690933321419916,-0.33670172205955795
U56,IID,0.001,14,False,BAND08@g1.00,BAND08@g1.00,1.12272154625824,0.11990191444404075,1.159043266942319,-0.19057949956765396,0.09418291117751854,1.2707181326807209,-0.12057347462583357,0.15249510327787674,0.8709791726330973,-0.33658642028507746
U56,IID,0.001,15,False,BAND08@g1.00,BAND08@g1.00,1.1195724002401835,0.12074047231085316,1.1675378354424655,-0.19046398755690586,0.0943172769963041,1.27199244795977,-0.12055011357709988,0.15232830278094767,0.8691118415661137,-0.3369129821450316
U56,IID,0.001,16,False,BAND08@g1.00,BAND08@g1.00,1.1250694008747262,0.11986066175669863,1.158140359363245,-0.19052777847054803,0.09416179295302007,1.270563141064688,-0.12060638276938873,0.15238031653853668,0.8716585130869329,-0.33698827706504364
U56,IID,0.001,17,False,BAND08@g1.00,BAND08@g1.00,1.1151780791740584,0.12062286939944755,1.1660407944529416,-0.1904975159036275,0.09365524633364575,1.2644387168958537,-0.12055778628969971,0.15240770900290124,0.8692694428313461,-0.33731876067856903
U56,IID,0.001,18,False,BAND08@g1.00,BAND08@g1.00,1.1242159499944437,0.12085586322316533,1.1656485073007132,-0.19039438409167808,0.09434596440668486,1.2729241934131195,-0.12047926890591487,0.15231381311079972,0.8700996310639231,-0.3366983445935343
U56,IID,0.001,19,False,BAND08@g1.00,BAND08@g1.00,1.1192860706315737,0.12027005963476878,1.16194625299334,-0.19048125239900093,0.09428092594543513,1.2718547999193959,-0.1205051576555568,0.15249106627067466,0.8712172031793467,-0.3369334571406918
U56,IID,0.001,20,False,BAND08@g1.00,BAND08@g1.00,1.1154229345047422,0.1198927618779424,1.1599687696718513,-0.19046888335037737,0.09412525004381567,1.2700439651483744,-0.12051382646417563,0.15224712893277692,0.8682351355587362,-0.3373886649183786
