panel,kind,q,draw,Ebar,Emed,selectivity20,EW_Sharpe,EW_OOS_Sharpe,ADAPT_Sharpe,S1_rho_n_OOS,S2_overlap,S3_reversal,S4_argmax_n,S5_fix_minus_adapt,best_prem,breadth,breadth_IS,breadth_OOS
MIX q=0.5 d2,mix,0.5,2.0,19.397590361445783,20.0,1.031055900621118,0.6509207794596281,0.6691596555200785,0.6522485529774183,0.7714285714285715,0.9357929515418503,0.8,30.0,0.009973641593859495,0.06975498158981663,0.4791666666666667,0.4826119402985075,0.47688118811881186
MIX q=0.5 d3,mix,0.5,3.0,22.96867469879518,25.0,0.8707511540075535,0.6751482834367999,0.637376655467792,0.736587164183413,-0.14285714285714288,0.9089933993399338,0.5333333333333333,10.0,0.007100949598208062,0.1109677425181207,0.5673809523809524,0.5829104477611939,0.557079207920792
MIX q=0.5 d4,mix,0.5,4.0,20.803614457831326,22.0,0.9613714020964845,0.6600200572478563,0.644202138288893,0.7008390746683948,-0.08571428571428573,0.9404255319148936,0.5333333333333333,20.0,0.0720115221117178,0.1128305395322563,0.5138988095238096,0.5194029850746269,0.5102475247524753
MIX q=0.5 d5,mix,0.5,5.0,19.51566265060241,21.0,1.0248178787504632,0.820572571759978,0.6301013715690189,0.8194327900668762,0.7714285714285715,0.9507157464212679,0.9333333333333333,30.0,0.12215262127126403,0.12575492536848376,0.4820833333333333,0.46828358208955223,0.49123762376237623
MIX q=0.6 d0,mix,0.6,0.0,16.757831325301204,18.0,1.1934718527572077,0.6699642741807977,0.6762410470179302,0.6738213403371779,0.7714285714285715,0.9614963503649636,0.6666666666666666,20.0,0.17868389122463968,0.18254095738101983,0.4139583333333334,0.37791044776119403,0.43787128712871287
MIX q=0.6 d1,mix,0.6,1.0,17.219277108433737,18.0,1.1614889448642596,0.8120152350215042,0.7489549829291269,0.7968266876457853,-0.08571428571428573,0.9587025316455697,0.6,10.0,-0.043884568454156225,-0.03613936647811933,0.4253571428571428,0.39738805970149255,0.4439108910891089
MIX q=0.6 d2,mix,0.6,2.0,19.289156626506024,20.0,1.0368519675202998,0.45191032079824356,0.36603426931947364,0.4569507017204671,-0.8857142857142858,0.9369955156950672,0.3333333333333333,15.0,0.062361777810754304,0.09235822086861922,0.4764880952380952,0.4418656716417911,0.4994554455445544
MIX q=0.6 d3,mix,0.6,3.0,17.40963855421687,18.0,1.14878892733564,0.46245471355241724,0.3395557608629404,0.46704822729033546,0.48571428571428577,0.9568493150684932,0.3333333333333333,15.0,0.12843834059347325,0.16887666868313195,0.43005952380952384,0.413955223880597,0.44074257425742575
MIX q=0.6 d4,mix,0.6,4.0,18.579518072289158,19.0,1.0764541858504635,0.7288110665644679,0.7077639380511836,0.7135344925826316,-0.08571428571428573,0.9447300771208226,0.8666666666666667,30.0,-0.14469673175474795,-0.13055346712018523,0.45895833333333336,0.4552985074626865,0.4613861386138614
MIX q=0.6 d5,mix,0.6,5.0,18.857831325301206,20.0,1.0605673396371071,0.7851182540725021,0.8383553580054042,0.7894349844867075,0.028571428571428574,0.9478048780487806,0.26666666666666666,15.0,0.08193235451651526,0.11005582151131332,0.46583333333333327,0.44,0.48297029702970296
MIX q=0.7 d0,mix,0.7,0.0,17.371084337349398,19.0,1.151338604522125,0.566575278448267,0.5230087579384847,0.566892950300929,0.8285714285714287,0.9633928571428572,0.4,20.0,0.07789215769326263,0.07820982954592459,0.4291071428571429,0.4181343283582089,0.4363861386138614
