panel,device,turn_yr,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,FULL_4b,FULL_4a_POOLED,FULL_4a_H2_MIN,FULL_4a_H2_ALL,FULL_4a_T3_MIN,FULL_4a_T3_ALL,FULL_4a_Y_MIN,FULL_4a_Y_ALL,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_4b,IS_4a_POOLED,IS_4a_H2_MIN,IS_4a_H2_ALL,IS_4a_T3_MIN,IS_4a_T3_ALL,IS_4a_Y_MIN,IS_4a_Y_ALL,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b,OOS_4a_POOLED,OOS_4a_H2_MIN,OOS_4a_H2_ALL,OOS_4a_T3_MIN,OOS_4a_T3_ALL,OOS_4a_Y_MIN,OOS_4a_Y_ALL
U56,RULESv1,23.62300472040458,0.06357671649095908,0.6555823646033162,-0.1382784369943567,False,False,False,False,False,False,False,False,0.049778040436649684,0.5588387705855192,-0.13103726486090694,False,False,False,False,False,False,False,False,0.07505780802218243,0.727944601791329,-0.1382784369943565,False,False,False,False,False,False,False,False
B136,BAND0.00_G0.75,3.323976559719434,0.0770558813417328,1.0846491158079419,-0.12616777132960688,False,False,False,False,False,False,False,False,0.0766049466640899,1.0557328091921008,-0.07943490495894645,False,False,False,False,False,False,False,False,0.07742678312787965,1.1096865883459013,-0.1261677713296071,False,False,False,False,False,False,False,False
B136,BAND0.03_G0.75,2.0111459572387926,0.07958992027840184,1.0972023061715337,-0.12241069123223436,False,False,True,False,True,False,True,False,0.08095012587409567,1.092172960863223,-0.07898347296561259,False,False,True,False,True,False,True,False,0.0784728360555127,1.1016867720596069,-0.12241069123223403,False,False,True,False,True,False,True,False
B136,BAND0.08_G0.75,1.227471789984344,0.08494427758987144,1.1152744077829528,-0.14814260085415176,False,False,False,False,False,False,False,False,0.08823515978417107,1.1410995038580019,-0.08818168841478202,False,False,False,False,False,False,False,False,0.08224595738983087,1.0934442497550947,-0.14814260085415154,False,False,False,False,False,False,False,False
B136,MAXVOL0.60_G0.75,8.26495148454321,0.10614456969770036,1.0177979845101428,-0.17688525745319383,True,False,False,False,False,False,False,False,0.1086618886094961,1.0339577441246037,-0.11421394110132921,True,False,False,False,False,False,False,False,0.10407910233470874,1.004186899477409,-0.17688525745319372,False,False,False,False,False,False,False,False
B136,MAXVOL0.80_G0.75,8.010100591904456,0.11233056631993654,1.0518074734164156,-0.17523513202544938,True,False,False,False,False,False,False,False,0.11139805251746049,1.0457105258735275,-0.11346279834474793,True,False,False,False,False,False,False,False,0.11309786900429941,1.056590057137228,-0.1752351320254495,True,False,False,False,False,False,False,False
B136,TOP10_G0.75,17.894193594244946,0.14231694906158787,0.893850376217165,-0.21445763823418762,False,False,False,False,False,False,False,False,0.1614996589569606,1.0597915913038265,-0.1859688498662322,False,False,False,False,False,False,False,False,0.12678240855633027,0.776731181038627,-0.21445763823418773,False,False,False,False,False,False,False,False
B136,TOP20_G0.75,14.308114442727415,0.12968594226880747,0.9417703202001712,-0.2005239339604491,False,False,False,False,False,False,False,False,0.13805309516258402,1.0325581919399938,-0.13699194410516047,False,False,False,False,False,False,False,False,0.12285253855688238,0.8736649305468197,-0.2005239339604491,False,False,False,False,False,False,False,False
B136,TOP40_G0.75,11.285032118786937,0.11923417361043454,0.9805345234832636,-0.1911426052172276,True,False,False,False,False,False,False,False,0.12085382656800303,1.0078617013356292,-0.12713296996507506,False,False,False,False,False,False,False,False,0.11790424183717696,0.9588044222272009,-0.1911426052172277,True,False,False,False,False,False,False,False
B136,BAND0.00_G1.00,4.420316214381367,0.10284716130649163,1.084420790222078,-0.16630880562889727,False,False,False,False,False,False,False,False,0.10225137027514308,1.0566447281182907,-0.1051397565601706,False,False,False,False,False,False,False,False,0.10333726431921875,1.108442001481368,-0.16630880562889716,False,False,False,False,False,False,False,False
B136,BAND0.03_G1.00,2.6663752770669493,0.10627284809226034,1.0971123929391093,-0.16158091944280462,True,False,False,False,False,False,False,False,0.10815217844921521,1.0932093743791,-0.104603347510273,True,False,False,False,False,False,False,False,0.10473004292318322,1.1006130604666327,-0.16158091944280473,False,False,False,False,False,False,False,False
B136,BAND0.08_G1.00,1.617539830236584,0.11350226150508624,1.1149780193350731,-0.19499212250678088,True,False,False,False,False,False,False,False,0.11802466873035256,1.142097375888141,-0.11668742995342918,True,False,False,False,False,False,False,False,0.1097976270130907,1.0920752045528088,-0.19499212250678066,True,False,False,False,False,False,False,False
B136,MAXVOL0.60_G1.00,10.910805029795336,0.14138673519140665,1.0178009177647573,-0.23092605506778285,False,False,False,False,False,False,False,False,0.14490547028966505,1.035217148242815,-0.15069380793925702,False,False,False,False,False,False,False,False,0.1385017197578584,1.0031622603805457,-0.2309260550677823,False,False,False,False,False,False,False,False
B136,MAXVOL0.80_G1.00,10.567827726430997,0.1498422233300627,1.0520609763869833,-0.2303617496445981,False,False,False,False,False,False,False,False,0.14866379976840793,1.0473672028514525,-0.1497387290546628,False,False,False,False,False,False,False,False,0.15081203350036,1.0556915571058019,-0.2303617496445982,False,False,False,False,False,False,False,False
B136,TOP10_G1.00,23.8422427537437,0.18792559759713834,0.8969757080536775,-0.2794875252234521,False,False,False,False,False,False,False,False,0.21510567719493667,1.0612684173096438,-0.24287248288869667,False,False,False,False,False,False,False,False,0.16603407777809087,0.7811539075716232,-0.279487525223452,False,False,False,False,False,False,False,False
B136,TOP20_G1.00,19.057411237428465,0.17197817548873617,0.9435819135054305,-0.26198935102334087,False,False,False,False,False,False,False,False,0.18394548518773712,1.0345344247264245,-0.18049280037944726,False,False,False,False,False,False,False,False,0.16222927649420682,0.8754423329823803,-0.261989351023341,False,False,False,False,False,False,False,False
B136,TOP40_G1.00,15.01718023304234,0.15842777368211425,0.9809054167410044,-0.25056512589027446,False,False,False,False,False,False,False,False,0.16086104525576173,1.0090586613669188,-0.16748316500810456,False,False,False,False,False,False,False,False,0.15643094924055556,0.9585615583193541,-0.2505651258902746,False,False,False,False,False,False,False,False
B136,RULESv1,29.43860053320798,0.06320051232272994,0.629374194055925,-0.21198908096372837,False,False,False,False,False,False,False,False,0.07212921738485911,0.7418258065129901,-0.09475782686773326,False,False,False,False,False,False,False,False,0.05591502545678706,0.5464577273270328,-0.21198908096372882,False,False,False,False,False,False,False,False
