scope,neutral,q,tau,n,abstain_rate,D_raw,t_raw,D_net,t_net,FREE,t_free,verdict_raw,verdict_net,flips,file
2026-09-05_cagr-floor-calibration_B.grid.csv,IS-MEDIAN-ARM,0.6,0.008926225683469294,18,0.6111111111111112,0.015960513317432923,1.0014880224355251,-0.010121263147673781,-0.37233284400368016,0.026081776465106704,1.2235325020835373,POS,NEG/0,True,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,IS-MEDIAN-ARM,0.7,0.017935633988906633,18,0.6666666666666666,0.023517613591284972,1.3648571468111368,-0.002564162873821732,-0.09037238902456877,0.026081776465106704,1.2235325020835373,POS,NEG/0,True,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,IS-MEDIAN-ARM,0.8,0.020786727771329085,18,0.7777777777777778,0.025279981736377077,1.4756307895965701,-0.009738587442583622,-0.33440555433287017,0.0350185691789607,1.5879842116314116,POS,NEG/0,True,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,IS-MEDIAN-ARM,0.9,0.04171771177011477,18,0.8888888888888888,0.035334925903573094,1.9990701583664177,0.00010139336152297414,0.003368808603762998,0.03523353254205012,1.5991128496468399,POS,POS,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,IS-MEDIAN-ARM,1.0,inf,18,1.0,0.053630865037746056,2.4692452580191535,0.020012297249351926,0.5750618996764097,0.03361856778839413,1.5069269058727366,POS,POS,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,MENU-MEAN,0.1,0.0,129,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,MENU-MEAN,0.2,2.071305349460318e-11,129,0.20155038759689922,7.917545644065597e-05,1.0000000000000002,-0.01403555270976221,-4.0903020531222305,0.014114728166202867,4.095125245774922,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,MENU-MEAN,0.3,0.0016206240467324998,129,0.3023255813953488,0.0004077874839544498,1.4174083418728523,-0.0178349856383545,-4.9973421786198,0.018242773122308948,5.096311072456023,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,MENU-MEAN,0.4,0.003163255509005461,129,0.40310077519379844,0.0031653345678467597,1.3526830598259505,-0.02041247966938963,-4.664619370423034,0.023577814237236393,6.345931331977703,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,MENU-MEAN,0.5,0.005991600237954,129,0.49612403100775193,0.00700322710438605,2.1081821998404293,-0.019263021769624782,-3.875700729920076,0.026266248874010835,7.1437090835204415,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,MENU-MEAN,0.6,0.008457502647133599,129,0.5968992248062015,0.008491304102548475,2.3790132238016053,-0.020654636858047432,-4.050328346489352,0.02914594096059591,8.051448504484618,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,MENU-MEAN,0.7,0.012675932973347778,129,0.6976744186046512,0.009383636906706846,2.623247703527219,-0.023084794742763384,-4.488715625621433,0.03246843164947023,8.910221353426182,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,MENU-MEAN,0.8,0.017178909063105263,129,0.7984496124031008,0.010468366797349181,2.8001360150019776,-0.02430501441202686,-4.638372757199397,0.034773381209376036,9.745198735060693,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,MENU-MEAN,0.9,0.025702163161944225,129,0.8992248062015504,0.014892090902185752,3.6369115985639295,-0.024036896225976663,-4.189922545520138,0.03892898712816241,10.719983424609262,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,MENU-MEAN,1.0,inf,129,1.0,0.02615723817248272,4.67845399304699,-0.016026110063863758,-2.286545783233618,0.04218334823634648,12.033189415051291,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,IS-MEDIAN-ARM,0.1,0.0,129,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_defensive-class-census_B.grid.csv
2026-09-05_defensive-class-census_B.grid.csv,IS-MEDIAN-ARM,0.2,2.071305349460318e-11,129,0.20155038759689922,7.917545644065597e-05,1.0000000000000002,-0.010492402906799059,-2.0004725027085217,0.010571578363239716,2.013967027079917,POS,NEG/0,True,2026-09-05_defensive-class-census_B.grid.csv
