panel,cost,N,H,gross,cadence,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS
U56,10.0,10,63,0.4,W,0.09784753917617484,1.148386541717942,-0.14148394587933955,1.3123094210353863,1.0373337446032678,0.10243497141342361,1.1034851127145235,-0.1414839458793391,False,False,False
U56,10.0,10,63,0.45,W,0.11024164535346892,1.1488434276243766,-0.15812142043661415,1.312703618232633,1.0379083743749287,0.1153801981486251,1.1040700103909542,-0.15812142043661415,False,True,True
U56,10.0,10,63,0.5,W,0.12266430400821715,1.1492890291495794,-0.1745323388950072,1.3130868725044496,1.0384736333908413,0.12834709546868628,1.1046441612410525,-0.17453233889500763,False,True,True
U56,10.0,10,63,0.55,M,0.12320405483489205,1.0560215788155518,-0.2082778787087507,1.1775224188147797,0.9688848214523545,0.12840731711371678,1.0309752129971772,-0.2082778787087508,False,False,False
U56,10.0,10,63,0.55,W,0.13511294005425234,1.1497223853729819,-0.19071889970284583,1.3134575083182796,1.0390292364363072,0.14133249295713024,1.1052066898505366,-0.19071889970284572,False,True,True
U56,10.0,10,63,0.6,W,0.14758500202516078,1.1501435456257298,-0.20668258365629388,1.3138152134027843,1.039575453580729,0.15433337665833968,1.1057587997548688,-0.20668258365629355,False,False,False
U56,10.0,10,63,0.65,W,0.16007768548231072,1.1505512342692061,-0.2224252663220826,1.3141590712852518,1.0401107085531707,0.1673461839237551,1.1062984275366845,-0.22242526632208282,False,False,False
U56,10.0,10,63,0.7,W,0.17258817077099264,1.150945031886166,-0.23794878773043782,1.3144887262817384,1.040634592041499,0.18036749751328607,1.1068254338535273,-0.2379487877304377,False,False,False
U56,10.0,10,63,0.75,W,0.18511383799317405,1.151325875526995,-0.25325552894863435,1.3148057968613973,1.0411476183698782,0.19339400865897605,1.1073404275153944,-0.25325552894863446,False,False,False
U56,10.0,10,126,0.55,W,0.12994133922529327,1.1560122698756812,-0.17644907412207766,1.216429457343598,1.1117977564340602,0.14432546086757392,1.209241405494295,-0.17644907412207733,False,True,True
U56,10.0,10,126,0.75,W,0.1777095851684607,1.156132791966488,-0.23448126030521244,1.217354348334958,1.1112443123533344,0.19770156716320653,1.208977456658087,-0.23448126030521255,False,False,False
