panel,book,gross,cadence,book_pass4b,book_pass4a,book_CAGR,book_Sharpe,book_MaxDD,book_OOS_Sharpe,book_turnover,null_base4b,base_L_H1,book_L_H1,base_L_H2,book_L_H2,base_L_OOS,book_L_OOS,base_L_DD,book_L_DD,base_L_CAGR,book_L_CAGR,pct_OOS_Sharpe,pct_Sharpe,pct_CAGR,pct_MaxDD,n_unpassable,n_unique_null,degenerate
B136,TOP20,0.5,W,False,False,0.08740978900856944,0.9542839597252485,-0.136398100566131,0.8821476948774379,9.204327014249627,0.0,0.0,True,0.0,False,0.0,True,1.0,True,0.0,False,100.0,100.0,100.0,35.0,4,200,False
B136,TOP20,0.65,M,False,False,0.14008129405341818,1.0923479070569142,-0.22929588386559874,0.9982573464002874,5.469160911348771,0.01,0.835,True,0.5,True,0.62,True,0.72,False,0.01,True,86.0,99.0,100.0,1.5,1,200,False
B136,TOP20,0.65,Q,False,False,0.11900707187247339,0.91438719434325,-0.2366305284960054,0.7468339637905221,3.0254755479764226,0.01,0.985,True,0.275,False,0.475,False,0.29,False,0.045,True,8.0,24.5,100.0,7.5,1,200,False
B136,TOP20,0.65,W,False,False,0.11346721603406218,0.9555942447954725,-0.1751955964183325,0.8833823688765238,11.938184258459204,0.0,0.0,True,0.0,False,0.0,True,0.97,True,0.0,True,100.0,100.0,100.0,33.0,4,200,False
B136,TOP20,0.75,M,False,False,0.1621715423361758,1.094223930317902,-0.2610525610883291,1.0002065660795347,6.299782732017368,0.04,0.895,True,0.41,True,0.605,True,0.14,False,0.33,True,86.5,99.0,100.0,0.5,0,200,False
B136,TOP20,0.75,Q,False,False,0.1372574915991862,0.9156550246270485,-0.27066003473973976,0.7488918943242396,3.4784143058208468,0.015,0.99,True,0.275,False,0.475,False,0.02,False,0.51,True,11.0,31.5,100.0,9.5,1,200,False
B136,TOP20,0.75,W,False,False,0.13075378775526536,0.9564184092616327,-0.2005239339604491,0.884157377715211,13.760188102045218,0.0,0.0,True,0.0,False,0.0,True,0.675,True,0.0,True,100.0,100.0,100.0,35.0,4,200,False
B136,TOP20,1.0,M,False,False,0.21790885109126057,1.0987446399152963,-0.33675172386421526,1.0049127553375177,8.375765768184793,0.0,0.89,True,0.42,True,0.56,True,0.0,False,0.995,True,89.0,99.0,100.0,0.5,1,200,False
B136,TOP20,1.0,Q,False,False,0.18268875364420145,0.9182884157042033,-0.3531986737464119,0.7535890880973374,4.601494119902551,0.0,1.0,True,0.23,False,0.425,False,0.0,False,1.0,True,12.0,34.0,100.0,11.0,1,200,False
B136,TOP20,1.0,W,False,False,0.17356278864608687,0.9582882698930626,-0.26198935102334076,0.885908871287294,18.33205129959578,0.0,0.0,True,0.0,False,0.0,True,0.0,False,0.0,True,100.0,100.0,100.0,37.0,5,200,False
B136,TOP5,0.5,M,False,False,0.1608011086974197,1.1444870602809427,-0.2192135332009839,1.1287464255017765,6.338569454406692,0.0,0.31,True,0.28,True,0.325,True,0.97,False,0.0,True,98.0,99.5,100.0,0.5,1,200,False
B136,TOP5,0.5,Q,False,False,0.14746734554281393,1.0621841484518395,-0.1993317858865834,0.8219864127004447,3.038656094825828,0.0,0.505,True,0.275,False,0.315,False,0.805,True,0.0,True,59.5,96.0,100.0,21.5,1,200,False
B136,TOP5,0.5,W,False,False,0.11101895793703132,0.8677931129335477,-0.1611646452197234,0.7826499413916135,14.252869279760464,0.0,0.0,True,0.005,False,0.005,False,0.79,True,0.0,True,99.5,100.0,100.0,69.0,4,200,False
B136,TOP5,0.65,M,False,False,0.21040503060811133,1.1499605568407145,-0.276325452403543,1.1360120396688862,8.212358130713751,0.045,0.245,True,0.33,True,0.365,True,0.46,False,0.075,True,99.0,99.5,100.0,1.5,0,200,False
B136,TOP5,0.65,Q,False,False,0.191993429804034,1.068735397560351,-0.25239899674867183,0.8315326891850703,3.9226621960811876,0.04,0.565,True,0.25,False,0.315,False,0.215,False,0.195,True,60.5,95.5,100.0,23.0,0,200,False
B136,TOP5,0.65,W,False,False,0.14338298132619132,0.8707111155688403,-0.2052469759255131,0.786864425205541,18.49022414954221,0.0,0.0,True,0.0,False,0.0,False,0.22,False,0.0,True,99.5,100.0,100.0,75.0,4,200,False
B136,TOP5,0.75,M,False,False,0.24375733428692747,1.1535034597666958,-0.31250710871244736,1.1407148968936673,9.457798083928715,0.025,0.3,True,0.35,True,0.39,True,0.17,False,0.36,True,96.5,99.5,100.0,2.0,0,200,False
B136,TOP5,0.75,Q,False,False,0.221714802812909,1.072896613982238,-0.28627132368997743,0.8377139069642102,4.506393649354169,0.025,0.58,True,0.295,False,0.305,False,0.09,False,0.51,True,59.5,97.0,100.0,27.500000000000004,0,200,False
B136,TOP5,0.75,W,False,False,0.16461534756824747,0.8726013714327588,-0.23360402627654586,0.7896215169293144,21.31471061770888,0.0,0.0,True,0.0,False,0.0,False,0.085,False,0.0,True,98.5,100.0,100.0,71.0,4,200,False
B136,TOP5,1.0,M,False,False,0.32795217410775535,1.1620051854718743,-0.3969539109926937,1.1520047867237857,12.568548187309375,0.0,0.315,True,0.29,True,0.335,True,0.0,False,0.84,True,98.0,100.0,100.0,4.0,1,200,False
B136,TOP5,1.0,Q,False,False,0.29604587568718976,1.0826475857097198,-0.36611212470561405,0.8526107971291793,5.948669799925824,0.0,0.65,True,0.235,False,0.295,False,0.0,False,0.91,True,64.5,96.5,100.0,31.0,1,200,False
B136,TOP5,1.0,W,False,False,0.21623843257057884,0.8771186728936714,-0.30102591599205775,0.7963224939174368,28.402539269429457,0.0,0.005,True,0.0,False,0.0,False,0.0,False,0.0,True,100.0,100.0,100.0,75.0,5,200,False
SMALL663,BAND03,0.5,M,False,True,0.03329526251976889,0.7308715299677083,-0.11424754594991349,0.591420079059288,1.074368731819809,0.0,0.52,True,0.0,False,0.0,False,1.0,True,0.0,False,100.0,100.0,93.5,31.5,3,200,False
SMALL663,BAND03,0.5,W,False,False,0.028981565426245304,0.6634671830864077,-0.09429166992212634,0.56024527575809,1.7293421624021976,0.0,0.0,False,0.0,False,0.0,False,1.0,True,0.0,False,100.0,100.0,100.0,100.0,4,200,False
SMALL663,BAND03,0.75,M,False,False,0.04964620550353094,0.7328240580716288,-0.1679314677784164,0.5932258401273471,1.6066624262759424,0.0,0.5,True,0.0,False,0.0,False,1.0,True,0.0,False,100.0,99.5,97.0,31.5,3,200,False
SMALL663,BAND03,0.75,Q,False,False,0.044375807532305744,0.6171315900255783,-0.2407696716071711,0.46996898843966023,0.9578148607500101,0.0,0.545,True,0.0,False,0.0,False,0.0,False,0.0,False,99.5,96.5,91.0,44.0,4,200,False
SMALL663,BAND03,0.75,W,False,False,0.04302647808406279,0.6636622737727346,-0.13891550852292234,0.5600309393103651,2.582212913363823,0.0,0.0,False,0.0,False,0.0,False,1.0,True,0.0,False,100.0,100.0,100.0,100.0,4,200,False
SMALL663,BAND03,1.0,M,False,False,0.06577989868328316,0.7347163191502822,-0.21938476996988987,0.5949577673970079,2.138342593645995,0.0,0.555,True,0.0,False,0.0,False,0.085,False,0.0,False,100.0,100.0,98.0,27.500000000000004,3,200,False
SMALL663,BAND03,1.0,Q,False,False,0.057945814343913105,0.6107289857916819,-0.3172009444213846,0.462626417110372,1.2745770099915283,0.0,0.605,False,0.0,False,0.0,False,0.0,False,0.0,False,99.5,94.5,90.0,51.0,4,200,False
SMALL663,BAND03,1.0,W,False,False,0.05674558592962198,0.663801196978682,-0.18190591066940764,0.5597606946736629,3.433049344675376,0.0,0.0,False,0.0,False,0.0,False,0.055,True,0.0,False,100.0,100.0,100.0,100.0,4,200,False
SMALL663,EWELIG,0.5,M,False,False,0.044494401826555396,0.5650589826839807,-0.2687112423353547,0.4110483606037654,3.661548622861461,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,0.0,100.0,5,1,True
SMALL663,EWELIG,0.5,Q,False,False,0.04379279675450887,0.5532024623206536,-0.2395815080306356,0.4039461568593398,1.6865811289102826,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,0.0,100.0,5,1,True
SMALL663,EWELIG,0.5,W,False,False,0.03268488177330986,0.43650409019829634,-0.2636259661141881,0.33293801388781197,7.965213281622866,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,0.0,0.0,5,1,True
SMALL663,EWELIG,0.65,M,False,False,0.05690269456647079,0.5638946206713762,-0.34065235151870243,0.40937544657532965,4.738384522987593,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,100.0,100.0,50.0,0.0,5,1,True
SMALL663,EWELIG,0.65,Q,False,False,0.05562185411108156,0.5482696414938253,-0.30944706010510803,0.3988865939179992,2.183617156504928,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0,0.0,0.0,5,1,True
SMALL663,EWELIG,0.65,W,False,False,0.04141112453259255,0.4367376263271461,-0.33133750192345457,0.3328707207915871,10.302116036191372,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,100.0,100.0,0.0,0.0,5,1,True
SMALL663,EWELIG,0.75,M,False,False,0.06490968517237983,0.563088596970278,-0.38645105192034934,0.40829176991927,5.451375995069087,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,100.0,0.0,5,1,True
SMALL663,EWELIG,0.75,Q,False,False,0.0631291763250188,0.5447251106470241,-0.35540231471277883,0.3953450226642345,2.5134856685744227,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,100.0,100.0,100.0,0.0,5,1,True
SMALL663,EWELIG,0.75,W,False,False,0.04693424695193893,0.4368958275824424,-0.37378027596953023,0.3328345544329159,11.847186098168429,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,100.0,50.0,100.0,0.0,5,1,True
