arm,panel,cost_bps,chooser,imposed_lag,pick_lag,pick_gross,pick_turnover_yr,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,full4b,pick_is_t1,beats_spy_oos,beats_base_oos
WF-B,U56,50.0,C_ISSHARPE,5.0,5,0.75,3.571542189923725,0.11110508467054858,1.1241618679781915,-0.17915670554107055,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,False,True,False
WF-B,U56,50.0,C_ISCALMAR,5.0,5,0.75,3.571542189923725,0.11110508467054858,1.1241618679781915,-0.17915670554107055,0.0951245058604564,1.2839355379722956,-0.12054950773958317,0.15454794790057602,0.8831406547160487,-0.33717256724185274,False,False,True,False
WF-A,B136,0.0,C_ISSHARPE,,3,0.75,4.696602082703884,0.12290830260138086,1.1133493485486767,-0.19587439741415846,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,True
WF-A,B136,0.0,C_ISCALMAR,,1,0.75,4.675125426436814,0.12186816399359124,1.1392361336091135,-0.166052331814747,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,True,True
WF-A,B136,10.0,C_ISSHARPE,,3,0.75,4.696602082703884,0.11751376896623333,1.0695533707558382,-0.19647069158654562,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-A,B136,10.0,C_ISCALMAR,,1,0.75,4.675125426436814,0.11650054279398891,1.0935817708519635,-0.17096216935248365,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,True,False
WF-A,B136,25.0,C_ISSHARPE,,3,0.75,4.696602082703884,0.10946842633013287,1.003685692704651,-0.1973647652367817,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-A,B136,25.0,C_ISCALMAR,,1,0.75,4.675125426436814,0.10849512786676252,1.0250054022590873,-0.1793470044898402,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,True,False
WF-A,B136,50.0,C_ISSHARPE,,3,0.75,4.696602082703884,0.09618250123774463,0.8935266394378989,-0.19885390794565183,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,True,False
WF-A,B136,50.0,C_ISCALMAR,,1,0.75,4.675125426436814,0.09527458603872074,0.9105523613820905,-0.193140200371554,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,True,True,False
WF-B,B136,0.0,C_ISSHARPE,1.0,1,0.75,4.675125426436814,0.12186816399359124,1.1392361336091135,-0.166052331814747,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,True,True
WF-B,B136,0.0,C_ISCALMAR,1.0,1,0.75,4.675125426436814,0.12186816399359124,1.1392361336091135,-0.166052331814747,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,True,True
WF-B,B136,0.0,C_ISSHARPE,2.0,2,0.75,4.701075275223242,0.11741675373654425,1.0747836977482692,-0.1959136681782735,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-B,B136,0.0,C_ISCALMAR,2.0,2,0.75,4.701075275223242,0.11741675373654425,1.0747836977482692,-0.1959136681782735,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,False
WF-B,B136,0.0,C_ISSHARPE,3.0,3,0.75,4.696602082703884,0.12290830260138086,1.1133493485486767,-0.19587439741415846,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,True
WF-B,B136,0.0,C_ISCALMAR,3.0,3,0.75,4.696602082703884,0.12290830260138086,1.1133493485486767,-0.19587439741415846,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,False,True,True
WF-B,B136,0.0,C_ISSHARPE,5.0,5,0.75,4.729077987583691,0.12219418166646734,1.091488456604661,-0.20337733887237652,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,True,False
WF-B,B136,0.0,C_ISCALMAR,5.0,5,0.75,4.729077987583691,0.12219418166646734,1.091488456604661,-0.20337733887237652,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,False,False,True,False
WF-B,B136,10.0,C_ISSHARPE,1.0,1,0.75,4.675125426436814,0.11650054279398891,1.0935817708519635,-0.17096216935248365,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,True,False
WF-B,B136,10.0,C_ISCALMAR,1.0,1,0.75,4.675125426436814,0.11650054279398891,1.0935817708519635,-0.17096216935248365,0.07847283605551292,1.1016867720596069,-0.12241069123223403,0.15257181383948715,0.8736721309012504,-0.3371595330739301,True,True,True,False
