panel,est,frac,L,obj,se_COMP,se_PAIRED,se_BOOKONLY
U56,IID,1.0,4445,u56-top20-g065-M,0.2388768271497019,0.15228190162910274,0.24046861929676885
U56,IID,1.0,4445,u56-v2band-gross100,0.2388768271497019,0.1582201723376576,0.24207887621830346
B136,BLOCK21,0.125,555,SPY,0.6415444582640731,,
B136,BLOCK21,0.125,555,b136-qroll-q012-w1008-d050-g100,0.6415444582640731,0.2843363722401309,0.6501356852419816
B136,BLOCK21,0.125,555,b136-r620-gross065-W,0.6415444582640731,0.36018677775161106,0.6081636402498006
B136,BLOCK21,0.25,1111,SPY,0.432245090743395,,
B136,BLOCK21,0.25,1111,b136-qroll-q012-w1008-d050-g100,0.432245090743395,0.2091600810134832,0.444764253274502
B136,BLOCK21,0.25,1111,b136-r620-gross065-W,0.432245090743395,0.2658043614941042,0.4266186415809238
B136,BLOCK21,0.375,1666,SPY,0.367214556763907,,
B136,BLOCK21,0.375,1666,b136-qroll-q012-w1008-d050-g100,0.367214556763907,0.16499845930212456,0.3730127313679696
B136,BLOCK21,0.375,1666,b136-r620-gross065-W,0.367214556763907,0.20201246388469224,0.364603351383802
B136,BLOCK21,0.5,2222,SPY,0.29903388791576513,,
B136,BLOCK21,0.5,2222,b136-qroll-q012-w1008-d050-g100,0.29903388791576513,0.1434400711962703,0.3103462580986089
B136,BLOCK21,0.5,2222,b136-r620-gross065-W,0.29903388791576513,0.17762713720801082,0.2986722135711624
B136,BLOCK21,0.75,3332,SPY,0.253275048956078,,
B136,BLOCK21,0.75,3332,b136-qroll-q012-w1008-d050-g100,0.253275048956078,0.12118171759876986,0.2582558487692064
B136,BLOCK21,0.75,3332,b136-r620-gross065-W,0.253275048956078,0.13907946013494316,0.25327369288651225
B136,BLOCK21,1.0,4443,SPY,0.22228793610806552,,
B136,BLOCK21,1.0,4443,b136-qroll-q012-w1008-d050-g100,0.22228793610806552,0.10536704963382332,0.22915294451400323
B136,BLOCK21,1.0,4443,b136-r620-gross065-W,0.22228793610806552,0.1268817543331044,0.21445481344123427
B136,BLOCK5,0.125,555,SPY,0.639383817400558,,
