panel,family,mode,theta,gross,turn_yr,window,CAGR,Sharpe,MaxDD,H1,H2,beta_FULL,beta_DOWN,beta_ROLL,beta_DDWIN,dd_ratio,leg_DDCAP,leg_CAGR,leg_H1,leg_H2,pass4b,pass4a
U56,TREND,HYB,0.4,0.75,1.9488004226918398,IS,0.07146209005999427,1.0538406200526793,-0.09512391046925772,0.8485901014590013,1.3228180035041448,0.28389038370712344,0.2442410590971703,0.3967211444511007,0.1910802169625203,0.43116431621389356,True,False,True,True,False,False
U56,TREND,HYB,0.4,0.75,1.9488004226918398,OOS,0.09273246283598358,1.2754388132270191,-0.12054947951644868,1.4066531904413424,1.1313972148183171,0.2839203415674093,0.2615731854859029,0.30524132049527375,,0.35753039231643646,True,False,True,True,False,False
U56,TREND,HYB,0.4,1.0,2.586833636948583,FULL,0.11109448628229468,1.1778482924362625,-0.15910995440549058,1.1879282675232197,1.1716791851200867,0.37885075425191655,0.34021121424243866,0.5289155166835077,,0.4718945668469957,True,True,True,True,True,False
U56,TREND,HYB,0.4,1.0,2.586833636948583,IS,0.0953399492822562,1.0543193854925266,-0.12579954963555062,0.8481939804613878,1.3244039399276581,0.3786078701144053,0.32575753675459523,0.5291486666156437,0.2549645708336615,0.5702065498679998,True,False,True,True,False,False
U56,TREND,HYB,0.4,1.0,2.586833636948583,OOS,0.12423920203271033,1.2746830056992609,-0.15910995440549036,1.4046064480068157,1.1320341728276464,0.3790232041050486,0.34942736967142374,0.4070240044883079,,0.4718945668469954,True,True,True,True,True,False
U56,TREND,HYB,0.6,0.25,0.6492705940506438,FULL,0.024633257446367463,1.0949525044560882,-0.04099162088253083,1.19733431082855,1.0070546317975986,0.08292805554423557,0.07105405696595546,0.11333028320450679,,0.12157456303092647,True,False,True,True,False,False
U56,TREND,HYB,0.6,0.25,0.6492705940506438,IS,0.022849080336138528,1.0576354826315746,-0.023762442016358576,0.9058787652657184,1.2587447597276666,0.07974217145337768,0.06258667989552681,0.11046086631509161,0.04508812996309137,0.10770706348186454,True,False,True,True,False,False
U56,TREND,HYB,0.6,0.25,0.6492705940506438,OOS,0.026104959523502114,1.1245785904245555,-0.040991620882530944,1.361239344469736,0.8530730520156801,0.08526941865543257,0.07645611243485234,0.0881973743158613,,0.12157456303092688,True,False,True,True,False,False
U56,TREND,HYB,0.6,0.5,1.2828271569693646,FULL,0.049369372655590604,1.0950723983692825,-0.08117568893512106,1.1981393977178807,1.006668619877875,0.1659912795057433,0.14231678580099927,0.22674821468639433,,0.24075405408590536,True,False,True,True,False,False
U56,TREND,HYB,0.6,0.5,1.2828271569693646,IS,0.04576862766390599,1.0583684807363019,-0.0474681261407498,0.905513681504013,1.260875304322735,0.15951290412259111,0.1252274173859576,0.22100329299498944,0.09024191891259437,0.21515686275372004,True,False,True,True,False,False
U56,TREND,HYB,0.6,0.5,1.2828271569693646,OOS,0.05234408665793788,1.1242308456710182,-0.08117568893512139,1.3595231288497003,0.8541225282828525,0.17075238050179595,0.15321939372144586,0.17640117700487015,,0.24075405408590653,True,False,True,True,False,False
U56,TREND,HYB,0.6,0.75,1.908086201229239,FULL,0.07417811569301502,1.0950705339244924,-0.1205494795164489,1.1988335231939617,1.0061572275400652,0.24919795856929414,0.21379668846402367,0.34022359729916096,,0.3575303923164369,True,False,True,True,False,False
U56,TREND,HYB,0.6,0.75,1.908086201229239,IS,0.06873297762024744,1.058994250984402,-0.0711037260903038,0.90502532160956,1.2629213584704035,0.23931448493833749,0.18792476306493833,0.33162775137349365,0.13546281544415145,0.32228899431015,True,False,True,True,False,False
U56,TREND,HYB,0.6,0.75,1.908086201229239,OOS,0.07868330415020464,1.1237510335788832,-0.12054947951644845,1.3576476392617876,0.8550653919560601,0.2564615827585918,0.2303021395762738,0.26461351248064735,,0.35753039231643585,True,False,True,True,False,False
U56,TREND,HYB,0.6,1.0,2.5340825411276247,FULL,0.09902580733366184,1.09492860077528,-0.1591099544054907,1.1993913539505958,1.005508848776587,0.3325568334465558,0.285502172493791,0.45377380520666827,,0.47189456684699604,True,False,True,True,False,False
U56,TREND,HYB,0.6,1.0,2.5340825411276247,IS,0.09171278161640783,1.0594871291030488,-0.09465830041186818,0.9043877639209258,1.264857070784583,0.3191491017438118,0.250680752812111,0.44233844205493866,0.18075191547549935,0.429053864267308,True,False,True,True,False,False
U56,TREND,HYB,0.6,1.0,2.5340825411276247,OOS,0.105085245767784,1.1231265719166552,-0.15910995440549025,1.3555940281054804,0.8558965001488686,0.342410582969527,0.30771681853513444,0.35283638817374796,,0.47189456684699504,True,False,True,True,False,False
U56,VOL,ROW,,0.25,0.49015256892124087,FULL,0.0381057699279681,1.127091167744829,-0.058031189195334565,1.1583269262246263,1.0989516609682943,0.17570275791309214,0.16916076994564552,0.20325026693899545,,0.17211118557145078,True,False,True,True,False,False
U56,VOL,ROW,,0.25,0.49015256892124087,IS,0.036112864139475453,1.0660024883395613,-0.04060351876534685,1.0316926708868246,1.1515277184273383,0.18768969594291338,0.1840862100078399,0.20412326141033477,0.18257255401708875,0.18404193349469836,True,False,True,True,False,False
U56,VOL,ROW,,0.25,0.49015256892124087,OOS,0.03974991260981331,1.1775417522990388,-0.058031189195334454,1.3437931302003467,1.0200633759107127,0.16689005363860462,0.1596409367690419,0.2010187822502199,,0.17211118557145058,True,False,True,True,False,False
U56,VOL,ROW,,0.5,0.9478417287130305,FULL,0.0765468739713242,1.1276542589547063,-0.11430822445739675,1.1597071915518995,1.0988182983468695,0.35181724761383665,0.33873999085444095,0.4065828280013862,,0.339019832347529,True,False,True,True,False,False
U56,VOL,ROW,,0.5,0.9478417287130305,IS,0.07243513421983416,1.067483185111386,-0.08045298898817044,1.0331054298079,1.153131529587998,0.3755721694283512,0.36826622645150325,0.40832209828720123,0.3658504557870575,0.3646660215431228,True,False,True,True,False,False
U56,VOL,ROW,,0.5,0.9478417287130305,OOS,0.07994494668752927,1.1772938476270296,-0.11430822445739663,1.3411041079149817,1.0216143595608183,0.3343528105878504,0.3199070301882849,0.40216157938593006,,0.3390198323475289,True,False,True,True,False,False
U56,VOL,ROW,,0.75,1.3897426948669824,FULL,0.11523420903800785,1.1280189664608231,-0.1688395390026287,1.1609269033973995,1.0984599489025375,0.5283809451153353,0.5087721261248804,0.6100548523694453,,0.5007509518935699,True,True,True,True,True,False
U56,VOL,ROW,,0.75,1.3897426948669824,IS,0.10888111806535283,1.0688065516828535,-0.11952403305802406,1.0343675416812617,1.1545687170798034,0.5636619110886086,0.5525524637574866,0.6126254688230517,0.5498671507730614,0.5417617687326337,True,True,True,True,True,False
U56,VOL,ROW,,0.75,1.3897426948669824,OOS,0.12049364209376479,1.1768105702236906,-0.1688395390026285,1.3381299369067055,1.0229582765421632,0.5024426432977215,0.4808467901471469,0.6037179960722241,,0.5007509518935696,True,True,True,True,True,False
U56,VOL,ROW,,1.0,1.8373723587240822,FULL,0.15406612673718212,1.1281488965927364,-0.22163424097881623,1.1619448086265654,1.0978460623036699,0.7054348837901994,0.6792949890157723,0.8137276308716578,,0.6573315575128593,False,True,True,True,False,False
U56,VOL,ROW,,1.0,1.8373723587240822,IS,0.14535255211702802,1.0699291204621433,-0.15779902470725193,1.0354386145893724,1.1557896088693935,0.7519730933871583,0.7369578159992989,0.8170263080633058,0.7346561372679868,0.7152492811900324,False,True,True,True,False,False
U56,VOL,ROW,,1.0,1.8373723587240822,OOS,0.16129197741319,1.1760612803647095,-0.22163424097881612,1.334832063367107,1.024070642103465,0.6712203297354821,0.6425139036504043,0.805262286178189,,0.6573315575128594,False,True,True,True,False,False
U56,VOL,AGG,0.2,0.25,0.32934472839478307,FULL,0.04051932335187125,1.0614277861484116,-0.08758358951424361,1.19268474633337,0.9457883275290383,0.20328890168114494,0.20975683296994085,0.21269074549372774,0.14068746659918566,0.2597588578989803,True,False,True,True,False,False
U56,VOL,AGG,0.2,0.25,0.32934472839478307,IS,0.041680486270500694,1.106096601660661,-0.04332214492221209,1.0336882011121797,1.28628271500703,0.21134845651734963,0.21042061395116826,0.21076094420503771,0.1993243224665926,0.1963645407359643,True,False,True,True,False,False
