legset,wstart,cost,kind,panel,book,gross,cadence,binding,rec_h1,rec_h2,disj_h1,disj_h2,spy_h1,spy_h2
REC5,2012-01-01,10.0,DESTROYED,U56,BAND03,1.0,W,L_H1,1.2327298000774998,1.175212848927804,1.7268761587955048,0.7513759877520956,1.8067534942921046,0.567150494209081
REC5,2012-01-01,10.0,DESTROYED,U56,BAND03,1.0,M,L_H1,1.2190191302185007,1.1354892090423656,1.6654561688411078,0.8521653807503353,1.8067534942921046,0.567150494209081
REC5,2012-01-01,10.0,DESTROYED,B136,TOP10,0.5,M,L_H1,1.2787777833130605,0.909553947846879,1.7252380445326356,1.270782593520485,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,10.0,DESTROYED,B136,TOP20,0.5,M,L_H1,1.327596592503283,0.9012854709343682,1.797125396980706,0.9647399510090159,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,10.0,DESTROYED,B136,BAND03,1.0,W,L_H1,1.2358770851587098,0.9647512348188001,1.7412952700335314,0.6790414140673813,1.8068237869507007,0.5671795096429402
REC5,2012-01-01,25.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.1568024159156052,1.1471124168297244,1.4151027848951117,0.887889093055765,1.8067534942921046,0.567150494209081
REC5,2012-01-01,25.0,DESTROYED,U56,TOP20,0.75,W,L_H1,0.9588515505320659,0.9724901142242105,1.3404667419315062,0.782504038029403,1.8067534942921046,0.567150494209081
REC5,2012-01-01,25.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.1583176067593124,1.1481089701974063,1.4166464570903075,0.8888315419075938,1.8067534942921046,0.567150494209081
REC5,2012-01-01,25.0,DESTROYED,U56,EWELIG,0.75,M,L_H1,1.095507671417482,1.0788435998180226,1.6437903717760423,0.6341042346446276,1.8067534942921046,0.567150494209081
REC5,2012-01-01,25.0,DESTROYED,U56,BAND03,1.0,W,L_H1,1.1950774396436603,1.1379605129965067,1.6935097793609772,0.7056310565426641,1.8067534942921046,0.567150494209081
