panel,mech,freq,hold,rule,tax_hard_pp,tax_soft_pp,tax_recovered,rebate_kept,CAGR_soft,CAGR_hard,CAGR_H0,Sharpe_soft,Sharpe_hard,Sharpe_H0,MaxDD_soft,MaxDD_hard,MaxDD_H0,turn_soft,turn_hard,turn_H0,pass4b_soft,pass4b_hard,pass4a_soft
U56,R3_84,W,21,R_GATE,1.3894677824848434,-1.64422425400097,2.1833482393240775,0.6302154315638089,0.1335311989893042,0.14507578576549718,0.12881974659888407,1.106098362968491,1.1280906185018371,1.0690360993862291,-0.1736977960937951,-0.20403471645865323,-0.1901400386338048,7.452408330676332,5.839789626241036,10.200757719785384,True,False,False
U56,R3_84,M,21,R_GATE,5.956912967865957,1.1102230246251565e-14,0.9999999999999981,0.6439695979076479,0.14625151097266564,0.14373821300749534,0.15062129210649466,1.1701083711052072,1.0823047704442537,1.1960530533355502,-0.19672577084410747,-0.25629490052276693,-0.19672577084410736,4.26160618803878,4.080307158158879,4.589530608781145,True,False,False
U56,R3_84,Q,21,R_GATE,0.0,0.0,,,0.14379136439485185,0.14379136439485185,0.14379136439485185,1.0590851353293107,1.0590851353293107,1.0590851353293107,-0.2803719054663285,-0.2803719054663285,-0.2803719054663285,2.6838729810884145,2.6838729810884145,2.6838729810884145,False,False,False
U56,MOMONLY,D,21,R_GATE,1.4905775334175475,-1.0989387774860693,1.7372570381940873,0.6330998717286558,0.11536077068212469,0.14587987249594225,0.11012485585409038,0.9996411876046796,1.1433381717411146,0.9440116503306321,-0.17677326219089917,-0.20266842529993534,-0.18776264996575986,14.105951839683694,8.024546809228026,24.59964330512816,True,False,False
U56,MOMONLY,W,21,R_GATE,1.5384015179929045,-0.9462155490377322,1.615064102557715,0.540219368760368,0.12009043607216952,0.1413785023310603,0.12218637907486674,1.0144769130649152,1.0984481221306293,1.0238597222124468,-0.17820500456842814,-0.2030511752387345,-0.18766716005880546,7.948666757527759,5.857818587746766,10.40530934250905,True,False,False
U56,MOMONLY,M,21,R_GATE,6.44751510542455,-3.3306690738754696e-14,1.000000000000005,0.5176341838026136,0.14039469682951178,0.13814090416204783,0.14232035626329376,1.136658406897331,1.0555189607311701,1.1415291566072223,-0.19765535029878767,-0.2621305013530335,-0.197655350298788,4.147949514226898,3.867399207478957,4.449012367714048,True,False,False
U56,MOMONLY,Q,21,R_GATE,0.0,0.0,,,0.12934073852101236,0.12934073852101236,0.12934073852101236,0.9803441474794823,0.9803441474794823,0.9803441474794823,-0.2534462567990923,-0.2534462567990923,-0.2534462567990923,2.3477746142791722,2.3477746142791722,2.3477746142791722,False,False,False
B136,CAND20,D,21,R_GATE,3.2243749564397794,-0.9153670245839907,1.2838897575344963,0.906634872623458,0.13402705032908724,0.152143553936267,0.09937084554359554,0.9778534148627068,1.0271906182891413,0.7580311530806473,-0.2140778436028815,-0.2554752634131192,-0.22323151384872142,12.468130896019407,10.366074223522892,32.88044047098603,False,False,False
B136,CAND20,W,21,R_GATE,5.638310973485739,0.5161148864583631,0.9084628554747329,0.8845154416280577,0.14111127188268258,0.16273672121545713,0.12935240946833715,1.0059253907686512,1.0848266176335637,0.9398556175281811,-0.20568508282503284,-0.2569070436953066,-0.2005239339604492,8.528139398427127,7.798167222073121,14.119117716623027,False,False,False
B136,CAND20,M,21,R_GATE,1.0352823611009088,-0.6612089456812131,1.6386749842604198,0.8416698358041007,0.16827740687838189,0.1677715829444979,0.16636544185546076,1.1291966343978386,1.102603983013942,1.111419512800059,-0.2544404716315172,-0.2714053846993384,-0.2610525610883293,5.773286084254159,5.640438307039954,6.479493694172848,False,False,False
B136,CAND20,Q,21,R_GATE,0.0,0.0,,,0.14017419819061105,0.14017419819061105,0.14017419819061105,0.9257056101091898,0.9257056101091898,0.9257056101091898,-0.27066003473973976,-0.27066003473973976,-0.27066003473973976,3.6179317982559622,3.6179317982559622,3.6179317982559622,False,False,False
B136,R3_84,D,21,R_GATE,3.8455902399969655,0.021815815522263637,0.9943270566647057,0.9073564880069651,0.13605184228044376,0.15374879438470712,0.11334882543335101,0.9853380948026745,1.0291875770980443,0.8434431518827351,-0.22254418370909568,-0.2607819279538427,-0.22232602555387304,11.572901421781188,9.69236320436507,29.991013125554357,False,False,False
B136,R3_84,W,21,R_GATE,6.785265640284887,0.38377664306035175,0.9434397025251559,0.8798442149233489,0.1418167637554828,0.1501709340031947,0.13905799476326908,1.0002426305402097,0.9960888044948516,0.9921253692706656,-0.21465667656918852,-0.2786715665414339,-0.210818910138585,7.902109127994077,7.2486973144357485,12.686736050077954,False,False,False
