panel,q,w,depth,gross,rung,leg,start,days,live_share,CAGR,Sharpe,MaxDD,H1,H2,UNGATED_CAGR,UNGATED_Sharpe,UNGATED_MaxDD,V2_Sharpe,V2_CAGR,V2_MaxDD,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,SPY_H1,SPY_H2,pass4a,pass4b,fail4b
U56,0.12,2016,1.0,1.0,25.0,OOS,2017-01-03,2436,1.0,0.14005328859595112,1.1584711601847797,-0.22503994099954627,1.2584762032618535,1.0491130994002997,0.13151476216103286,0.9829285925025385,-0.21077670739710586,1.241406438552039,0.09181569023107472,-0.12092632430399464,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,False,DDCAP
U56,0.17,252,0.5,1.0,0.0,RAW,2009-01-13,4443,0.9997749268512266,0.13884822066760827,1.2081501477254926,-0.15517522560262065,1.085911324413917,1.3284902529660207,0.1506609069434668,1.128599914407742,-0.20748563439191448,1.226867660750899,0.08821007359904964,-0.12029813984958915,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,True,-
U56,0.17,252,0.5,1.0,0.0,LIVE,2009-01-14,4442,1.0,0.1388508829474442,1.2080476061533132,-0.15517522560262087,1.0833511199084584,1.3308492128668779,0.15066626990857523,1.1285230984397572,-0.2074856343919148,1.226972279674918,0.08822815125115313,-0.1202981398495887,0.15154751007506606,0.8855659761343815,-0.33717235283398306,0.9577934088940799,0.8265304320725277,False,True,-
U56,0.17,252,0.5,1.0,0.0,OOS,2017-01-03,2436,1.0,0.16348434117108446,1.4213238876106518,-0.15517522560262087,1.6633555984415733,1.1693505365844465,0.16324002497052392,1.1886075896434396,-0.2074856343919146,1.3027736471519475,0.09670513420063886,-0.12029813984958881,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,True,-
U56,0.17,252,0.5,1.0,10.0,RAW,2009-01-13,4443,0.9997749268512266,0.12793157213078987,1.1226807343013958,-0.15593601046149708,1.0035038437314985,1.240019066909451,0.13823901504957914,1.046219320763306,-0.20880282084818413,1.201840627126638,0.08628162162824915,-0.12054943679771146,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,True,-
U56,0.17,252,0.5,1.0,10.0,LIVE,2009-01-14,4442,1.0,0.12793176310687016,1.122568598366255,-0.15593601046149708,1.0009473014065866,1.242354118344377,0.13824153879495982,1.046133263395304,-0.2088028208481839,1.2019423890619532,0.08629923348168123,-0.12054943679771146,0.15154751007506606,0.8855659761343815,-0.33717235283398306,0.9577934088940799,0.8265304320725277,False,True,-
U56,0.17,252,0.5,1.0,10.0,OOS,2017-01-03,2436,1.0,0.15236425634457573,1.334562374636774,-0.15593601046149685,1.5933120988033795,1.0652287527058104,0.15044855171922333,1.1064861009700002,-0.2088028208481839,1.2782424661570655,0.09474682024310699,-0.12054943679771168,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,True,-
U56,0.17,252,0.5,1.0,25.0,RAW,2009-01-13,4443,0.9997749268512266,0.1117459632200486,0.994118263449218,-0.15707660771110477,0.8796163804616137,1.1068684809051659,0.11984788631833698,0.9223261899150016,-0.21077670739710552,1.1642615600830166,0.08339513295117529,-0.12092632430399441,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,False,H1
U56,0.17,252,0.5,1.0,25.0,LIVE,2009-01-14,4442,1.0,0.11174253396449552,0.9939918070181167,-0.15707660771110454,0.8770660607745078,1.1091669991025757,0.11984626263350728,0.9222263348226858,-0.21077670739710586,1.1643590367933088,0.08341204904248767,-0.12092632430399441,0.15154751007506606,0.8855659761343815,-0.33717235283398306,0.9577934088940799,0.8265304320725277,False,False,H1
U56,0.17,252,0.5,1.0,25.0,OOS,2017-01-03,2436,1.0,0.13587644156120948,1.2039465925386572,-0.15707660771110465,1.487820293161387,0.9086128410305676,0.13151476216103286,0.9829285925025385,-0.21077670739710586,1.241406438552039,0.09181569023107472,-0.12092632430399464,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,True,-
U56,0.17,252,1.0,1.0,0.0,RAW,2009-01-13,4443,0.9997749268512266,0.12550764729048636,1.169958078207005,-0.17151434729113368,0.923093129189282,1.4260862878803653,0.1506609069434668,1.128599914407742,-0.20748563439191448,1.226867660750899,0.08821007359904964,-0.12029813984958915,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,False,H1
U56,0.17,252,1.0,1.0,0.0,LIVE,2009-01-14,4442,1.0,0.12550729275974093,1.169835345221172,-0.17151434729113335,0.9204346339129462,1.42866798691625,0.15066626990857523,1.1285230984397572,-0.2074856343919148,1.226972279674918,0.08822815125115313,-0.1202981398495887,0.15154751007506606,0.8855659761343815,-0.33717235283398306,0.9577934088940799,0.8265304320725277,False,False,H1
