panel,kind,q,k,draw,arm,n,Ebar,breadth,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,spy_S,spy_CAGR,spy_DD,spy_H1,spy_H2,spy_OOS_S,v2_S,v2_H1,v2_H2,v2_DD,v2_OOS_S,pass4a,pass4b
MIX q=1.00 k=60 d0,mix,1.0,60.0,0,CAND20,20.0,16.50602409638554,0.2751004016064257,0.020404689047389013,0.23398415727520136,-0.2435099710259061,0.40298764021788713,0.10861041041318302,0.008844534990481767,0.13324534677503724,-0.24350997102590388,0.4341835360886318,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.44234859652019576,0.3563743856094426,0.5180949085674816,-0.1452099348145195,0.45657341217062386,False,False
MIX q=1.00 k=60 d0,mix,1.0,60.0,0,CAND30,30.0,16.50602409638554,0.2751004016064257,0.015631579863481848,0.23106864090424206,-0.1863778033327852,0.39880720888799764,0.11385769944284854,0.006868990741031755,0.12178523589440224,-0.18637780333278675,0.4592829803108749,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.44234859652019576,0.3563743856094426,0.5180949085674816,-0.1452099348145195,0.45657341217062386,False,False
MIX q=1.00 k=60 d0,mix,1.0,60.0,0,EWall,,16.50602409638554,0.2751004016064257,0.02836494725173022,0.25610455518663383,-0.4436903173460882,0.35556598018887153,0.1870231390820514,0.023866875209778593,0.22479624620972674,-0.44369031734608866,0.31890524551744837,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.44234859652019576,0.3563743856094426,0.5180949085674816,-0.1452099348145195,0.45657341217062386,False,False
MIX q=1.00 k=60 d1,mix,1.0,60.0,1,CAND5,5.0,18.357831325301206,0.30596385542168675,-0.00914528391888636,0.05626909886209801,-0.5819812601541059,-0.25338960387281495,0.3066195906929717,0.006559217693876462,0.13789412123849443,-0.4804048052227786,-0.10044578222672852,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.40967329311825645,0.2353209895093284,0.5621106723229969,-0.17481488878872053,0.47462628870835005,False,False
MIX q=1.00 k=60 d1,mix,1.0,60.0,1,CAND10,10.0,18.357831325301206,0.30596385542168675,0.036610238710788945,0.30241421949238767,-0.46216808917453345,-0.13376093039718318,0.6541497757734213,0.05968608932365793,0.4205359987372979,-0.46216808917453334,0.07376344798504214,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.40967329311825645,0.2353209895093284,0.5621106723229969,-0.17481488878872053,0.47462628870835005,False,False
MIX q=1.00 k=60 d1,mix,1.0,60.0,1,CAND15,15.0,18.357831325301206,0.30596385542168675,0.03905010161412403,0.34528741135239,-0.35509317823522,0.0008177153388208714,0.6273893914838394,0.05809679577058646,0.45595149167430943,-0.35271136282050464,0.1338775990113396,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.40967329311825645,0.2353209895093284,0.5621106723229969,-0.17481488878872053,0.47462628870835005,False,False
MIX q=1.00 k=60 d1,mix,1.0,60.0,1,CAND20,20.0,18.357831325301206,0.30596385542168675,0.04992247199239275,0.46127869813550043,-0.3061961256526188,0.17988873555436552,0.6958831322264463,0.0634066283570962,0.5398169568922137,-0.3061961256526198,0.31380092863686165,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.40967329311825645,0.2353209895093284,0.5621106723229969,-0.17481488878872053,0.47462628870835005,False,False
MIX q=1.00 k=60 d1,mix,1.0,60.0,1,CAND30,30.0,18.357831325301206,0.30596385542168675,0.02613080469645168,0.33321783794312143,-0.22525957532537177,0.17869203368369774,0.45736674774214425,0.030593818727926214,0.36006873691832936,-0.22525957532537177,0.2843102452058302,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.40967329311825645,0.2353209895093284,0.5621106723229969,-0.17481488878872053,0.47462628870835005,False,False
MIX q=1.00 k=60 d1,mix,1.0,60.0,1,EWall,,18.357831325301206,0.30596385542168675,0.029772038909045895,0.27015832801579703,-0.42238413836727795,0.1664909810225878,0.3592478378278506,0.032821517859220606,0.2854597320519124,-0.4223841383672765,0.243666169183912,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.40967329311825645,0.2353209895093284,0.5621106723229969,-0.17481488878872053,0.47462628870835005,False,False
MIX q=1.00 k=60 d2,mix,1.0,60.0,2,CAND5,5.0,20.26987951807229,0.3378313253012048,0.050156527437072995,0.3462512874888621,-0.4396922903666718,0.4553118243679321,0.2552234320179247,0.05229691290678096,0.35076196024416084,-0.4396922903666728,0.33927689123958443,0.8615657442323101,0.14130109527377144,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8820239235972316,0.5261019170305158,0.47725763132425375,0.5709798321680948,-0.14862963244101457,0.5622039462773781,False,False
